Cadence Design Systems Price to Free Cash Flow Ratio Historical Data,Cadence Design Systems Price to Free Cash Flow Ratio Historical Data,Cadence Design Systems Price to Free Cash Flow Ratio Historical Data,Cadence Design Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,318.39,,71.8
2024-03-31,311.28,$4.43,70.19
2023-12-31,272.37,$4.57,59.58
2023-09-30,234.3,$4.53,51.77
2023-06-30,234.52,$4.14,56.61
2023-03-31,210.09,$3.80,55.3
2022-12-31,160.64,$4.07,39.49
2022-09-30,163.43,$3.96,41.3
2022-06-30,150.03,$3.96,37.87
2022-03-31,164.46,$4.18,39.34
2021-12-31,186.35,$3.71,50.18
2021-09-30,151.44,$3.38,44.84
2021-06-30,136.82,$3.04,45.03
2021-03-31,136.99,$2.88,47.56
2020-12-31,136.43,$2.90,47.09
2020-09-30,106.63,$2.99,35.63
2020-06-30,95.96,$2.77,34.66
2020-03-31,66.04,$2.43,27.19
2019-12-31,69.36,$2.34,29.7
2019-09-30,66.08,$2.26,29.18
2019-06-30,70.81,$2.18,32.51
2019-03-31,63.51,$2.03,31.36
2018-12-31,43.48,$1.93,22.5
2018-09-30,45.32,$1.92,23.57
2018-06-30,43.31,$2.38,18.23
2018-03-31,36.77,$1.99,18.51
2017-12-31,41.82,$2.10,19.89
2017-09-30,39.47,$1.97,20.04
2017-03-31,31.4,$1.39,22.57
2016-12-31,25.22,$1.35,18.73
2016-09-30,25.53,$0.97,26.27
2016-06-30,24.3,$0.82,29.66
2016-03-31,23.58,$0.84,28.02
2015-12-31,20.81,$0.94,22.09
2017-06-30,33.49,$0.81,41.22
2015-09-30,20.68,$1.10,18.74
2015-06-30,19.66,$1.10,17.81
2015-03-31,18.44,$0.96,19.29
2014-12-31,18.97,$0.90,21.01
2014-09-30,17.21,$0.89,19.44
2014-06-30,17.49,$0.93,18.91
2014-03-31,15.54,$0.93,16.66
2013-12-31,14.02,$1.10,12.8
2013-09-30,13.51,$1.03,13.14
2013-06-30,14.48,$1.03,14.08
2013-03-31,13.93,$1.04,13.34
2012-12-31,13.51,$1.00,13.54
2012-09-30,12.87,$0.86,14.89
2012-06-30,10.99,$0.75,14.69
2012-03-31,11.84,$0.77,15.38
2011-12-31,10.4,$0.77,13.48
2011-09-30,9.24,$0.78,11.83
2011-06-30,10.56,$0.76,13.98
2011-03-31,9.75,$0.86,11.36
2010-12-31,8.26,$0.64,12.83
2010-09-30,7.63,$0.51,15.01
2010-06-30,5.79,$0.38,15.4
2009-12-31,5.99,$-0.05,0.0
2009-09-30,7.34,$0.12,62.26
