J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,108.7,,17.62
2024-04-30,113.81,$6.17,18.45
2024-01-31,129.25,$6.09,21.23
2023-10-31,110.8,$7.92,13.99
2023-07-31,145.53,$8.61,16.91
2023-04-30,148.2,$6.75,21.95
2023-01-31,145.64,$5.98,24.35
2022-10-31,142.61,$4.81,29.67
2022-07-31,124.3,$4.82,25.79
2022-04-30,127.75,$6.66,19.18
2022-01-31,130.19,$6.25,20.84
2021-10-31,112.91,$7.07,15.98
2021-07-31,119.59,$8.95,13.36
2021-04-30,118.69,$11.23,10.56
2021-01-31,104.65,$11.46,9.14
2020-10-31,100.1,$11.76,8.51
2020-07-31,96.8,$10.31,9.39
2020-04-30,100.94,$8.69,11.62
2020-01-31,90.28,$8.44,10.7
2019-10-31,91.32,$7.28,12.55
2019-07-31,95.34,$6.97,13.68
2019-04-30,104.44,$6.91,15.12
2019-01-31,88.58,$7.13,12.42
2018-10-31,90.8,$7.71,11.78
2018-07-31,92.45,$7.22,12.8
2018-04-30,94.27,$8.05,11.71
2018-01-31,104.17,$8.04,12.96
2017-10-31,86.4,$7.69,11.24
2017-07-31,98.69,$7.95,12.41
2017-04-30,101.98,$7.50,13.6
2017-01-31,108.73,$8.21,13.25
2016-10-31,104.51,$9.23,11.33
2016-07-31,122.1,$10.11,12.07
2016-04-30,100.06,$10.62,9.42
2016-01-31,100.58,$9.41,10.69
2015-10-31,91.48,$8.98,10.19
2015-07-31,86.51,$7.48,11.57
2015-04-30,89.3,$4.79,18.63
2015-01-31,79.01,$4.89,16.15
2014-10-31,79.15,$4.57,17.34
2014-07-31,75.36,$4.67,16.13
2014-04-30,72.7,$5.67,12.82
2014-01-31,72.03,$5.28,13.66
2013-10-31,82.66,$4.46,18.55
2013-07-31,83.21,$5.30,15.7
2013-04-30,75.96,$6.05,12.56
2013-01-31,64.84,$6.68,9.7
2012-10-31,62.28,$7.18,8.68
2012-07-31,55.47,$6.41,8.66
2012-04-30,57.16,$4.10,13.93
2012-01-31,56.2,$1.84,30.51
2011-10-31,54.61,$1.55,35.21
2011-07-31,54.88,$1.20,45.91
2011-04-30,52.57,$1.86,28.33
2011-01-31,43.23,$4.00,10.81
2010-10-31,44.42,$3.70,12.01
2010-07-31,42.16,$4.88,8.64
2010-04-30,41.63,$4.89,8.52
2010-01-31,40.7,$5.51,7.39
2009-10-31,35.5,$4.79,7.4
