Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,117.73,,4.1
2024-03-31,116.12,$28.69,4.05
2023-12-31,101.35,$17.86,5.68
2023-09-30,91.52,$13.19,6.94
2023-06-30,83.93,$16.85,4.98
2023-03-31,77.54,$17.50,4.43
2022-12-31,92.07,$13.85,6.65
2022-09-30,78.53,$23.98,3.27
2022-06-30,86.54,$26.47,3.27
2022-03-31,105.64,$33.42,3.16
2021-12-31,95.77,$25.15,3.81
2021-09-30,92.09,$5.45,16.88
2021-06-30,88.73,$-10.32,0.0
2021-03-31,78.04,$-24.32,0.0
2020-12-31,65.94,$21.14,3.12
2020-09-30,52.89,$41.91,1.26
2020-06-30,49.91,$61.81,0.81
2020-03-31,41.92,$77.57,0.54
2019-12-31,74.49,$47.76,1.56
2019-09-30,70.72,$64.94,1.09
2019-06-30,78.46,$55.35,1.42
2019-03-31,70.65,$52.88,1.34
2018-12-31,62.05,$50.83,1.22
2018-09-30,76.32,$34.85,2.19
2018-06-30,69.8,$35.69,1.96
2018-03-31,76.62,$32.46,2.36
2017-12-31,84.37,$30.87,2.73
2017-09-30,77.48,$15.08,5.14
2017-06-30,78.24,$30.12,2.6
2017-03-31,76.63,$37.06,2.07
2016-12-31,74.24,$37.86,1.96
2016-09-30,57.85,$61.18,0.95
2016-03-31,50.25,$32.30,1.56
2015-12-31,56.04,$30.28,1.85
2015-09-30,52.04,$37.11,1.4
2015-06-30,59.34,$24.55,2.42
2015-03-31,54.08,$41.55,1.3
2014-12-31,60.48,$37.26,1.62
2016-06-30,50.08,$30.10,1.66
2014-09-30,58.4,$31.07,1.88
2014-06-30,58.6,$24.95,2.35
2014-03-31,55.52,$22.04,2.52
2013-12-31,60.1,$18.24,3.3
2013-09-30,50.52,$30.99,1.63
2013-06-30,47.08,$37.06,1.27
2013-03-31,37.8,$43.44,0.87
2012-12-31,33.93,$44.67,0.76
2012-09-30,33.58,$28.51,1.18
2012-06-30,29.83,$27.62,1.08
2012-03-31,39.05,$22.44,1.74
2011-12-31,30.88,$25.33,1.22
2011-09-30,28.03,$26.15,1.07
2011-06-30,38.04,$18.83,2.02
2011-03-31,36.83,$18.39,2.0
2010-12-31,35.12,$13.76,2.55
2010-09-30,31.73,$12.64,2.51
2010-06-30,31.43,$9.76,3.22
2010-03-31,35.43,$6.93,5.11
2009-12-31,29.14,$13.03,2.24
