Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,245.06,,21.26
2024-04-30,268.94,$11.53,23.33
2024-01-31,280.72,$9.65,29.08
2023-10-31,200.57,$8.95,22.4
2023-07-31,224.72,$7.65,29.36
2023-04-30,198.11,$7.14,27.75
2023-01-31,167.75,$6.33,26.49
2022-10-31,162.38,$5.70,28.47
2022-07-31,183.78,$5.65,32.54
2022-04-30,175.71,$5.67,31.01
2022-01-31,232.33,$5.42,42.83
2021-10-31,299.3,$6.18,48.42
2021-07-31,241.61,$7.80,30.98
2021-04-30,230.02,$9.50,24.22
2021-01-31,225.26,$6.14,36.68
2020-04-30,161.74,$3.74,43.2
2020-01-31,182.07,$4.34,41.96
2019-10-31,156.28,$3.91,39.97
2019-07-31,154.3,$4.13,37.4
2019-04-30,165.13,$3.79,43.62
2019-01-31,151.77,$1.83,82.74
2020-10-31,231.97,$2.20,105.43
2018-10-31,137.06,$3.34,41.05
2018-07-31,136.97,$3.36,40.8
2018-04-30,120.83,$3.29,36.67
2018-01-31,113.76,$3.00,37.94
2017-10-31,102.21,$2.53,40.42
2017-07-31,90.68,$2.56,35.38
2017-04-30,86.01,$2.50,34.36
2017-01-31,79.0,$2.43,32.57
2016-10-31,75.06,$2.26,33.24
2016-07-31,81.69,$2.34,34.91
2016-04-30,75.7,$2.51,30.2
2016-01-31,67.97,$2.10,32.41
2015-10-31,77.61,$1.90,40.82
2015-07-31,73.2,$1.85,39.66
2015-04-30,72.72,$1.75,41.49
2015-01-31,56.38,$1.43,39.49
2014-10-31,63.91,$1.35,47.31
2014-07-31,54.18,$1.42,38.15
2014-04-30,51.58,$-0.37,0.0
2014-01-31,60.45,$0.57,105.15
2013-10-31,53.29,$0.62,85.33
2013-07-31,43.69,$0.91,48.07
2020-07-31,194.59,$2.51,77.61
2013-04-30,41.06,$1.08,38.08
2013-01-31,42.98,$0.99,43.25
2012-10-31,36.45,$0.94,38.61
2012-07-31,31.05,$1.03,30.18
2012-04-30,38.88,$0.92,42.32
2012-01-31,29.16,$0.81,35.88
2011-10-31,33.25,$0.70,47.63
2011-07-31,36.13,$0.62,58.59
2011-04-30,34.6,$0.62,55.44
2011-01-31,32.24,$0.67,47.84
2010-10-31,28.98,$0.59,49.03
2010-07-31,24.71,$0.55,45.23
2010-04-30,21.37,$0.51,41.73
2010-01-31,15.87,$0.43,36.72
2009-10-31,14.17,$0.60,23.51
