Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,275.22,,32.35
2024-03-31,278.56,$8.51,32.74
2023-12-31,259.38,$8.21,31.6
2023-09-30,228.66,$8.42,27.17
2023-06-30,235.65,$7.92,29.76
2023-03-31,223.29,$7.67,29.13
2022-12-31,205.35,$7.46,27.53
2022-09-30,175.19,$7.48,23.43
2022-06-30,193.82,$6.69,28.96
2022-03-31,217.89,$6.32,34.49
2021-12-31,212.56,$6.26,33.95
2021-09-30,218.11,$5.94,36.69
2021-06-30,228.63,$5.18,44.16
2021-03-31,206.73,$4.59,45.02
2020-12-31,213.24,$3.80,56.06
2020-09-30,194.66,$3.91,49.73
2020-06-30,187.75,$4.64,40.47
2020-03-31,156.34,$4.75,32.89
2019-12-31,182.06,$5.00,36.41
2019-09-30,166.38,$4.76,34.98
2019-06-30,167.87,$4.52,37.16
2019-03-31,150.85,$4.64,32.48
2018-12-31,127.21,$4.93,25.78
2018-09-30,144.45,$4.73,30.56
2018-06-30,127.29,$4.48,28.41
2018-03-31,114.77,$4.35,26.38
2017-12-31,109.21,$3.40,32.11
2017-09-30,100.62,$3.25,30.97
2017-06-30,89.52,$3.09,28.93
2017-03-31,84.68,$1.89,44.75
2016-12-31,74.21,$2.07,35.86
2016-09-30,78.49,$1.89,41.62
2016-06-30,70.28,$1.61,43.56
2016-03-31,72.33,$2.30,31.48
2015-12-31,73.2,$2.35,31.11
2015-09-30,65.64,$2.27,28.93
2015-06-30,63.17,$2.24,28.17
2015-03-31,61.43,$2.16,28.49
2014-12-31,61.45,$2.59,23.69
2014-09-30,49.91,$2.38,20.96
2014-06-30,49.19,$2.53,19.41
2014-03-31,50.3,$2.41,20.85
2013-12-31,51.8,$2.05,25.33
2013-09-30,44.36,$0.88,50.38
2013-06-30,42.35,$0.50,85.5
2013-03-31,39.28,$0.25,155.76
2012-12-31,34.99,$0.13,279.66
2012-09-30,30.92,$1.20,25.72
2012-06-30,28.42,$1.06,26.93
2012-03-31,27.07,$1.09,24.93
2011-12-31,23.25,$0.94,24.65
2011-09-30,19.58,$0.86,22.75
2011-06-30,19.22,$0.86,22.25
2011-03-31,16.76,$0.80,21.0
2010-12-31,15.99,$0.79,20.13
2010-09-30,16.84,$0.56,30.09
2010-06-30,16.01,$0.32,50.75
2010-03-31,20.57,$0.11,192.63
2009-12-31,19.74,$0.04,493.42
