FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,56.39,,34.29
2024-03-31,63.7,$1.64,38.73
2023-12-31,62.47,$-4.10,0.0
2023-09-30,65.75,$-1.23,0.0
2023-06-30,101.55,$1.37,74.22
2023-03-31,118.21,$1.85,63.99
2022-12-31,120.22,$3.87,31.05
2022-09-30,101.35,$3.16,32.1
2022-06-30,102.1,$2.65,38.59
2022-03-31,124.92,$3.05,40.98
2021-12-31,103.92,$5.73,18.14
2021-09-30,86.17,$4.49,19.2
2021-06-30,101.31,$4.66,21.75
2021-03-31,103.11,$4.80,21.47
2020-12-31,106.67,$4.68,22.77
2020-09-30,97.89,$4.63,21.16
2020-06-30,91.69,$3.88,23.65
2020-03-31,74.85,$2.38,31.43
2019-12-31,90.98,$2.99,30.43
2019-09-30,79.56,$-0.61,0.0
2019-06-30,74.92,$-0.87,0.0
2019-03-31,69.05,$0.76,91.18
2018-12-31,66.48,$2.10,31.65
2018-09-30,77.94,$2.82,27.59
2018-06-30,79.61,$1.64,48.51
2018-03-31,68.2,$1.85,36.95
2017-12-31,84.12,$2.21,38.0
2017-09-30,79.23,$2.79,28.43
2017-06-30,64.68,$3.43,18.85
2017-03-31,61.49,$2.23,27.51
2016-12-31,49.84,$3.04,16.41
2016-09-30,42.47,$2.22,19.09
2016-06-30,40.55,$0.07,591.12
2016-03-31,35.22,$-0.08,0.0
2015-12-31,34.0,$-3.06,0.0
2015-09-30,29.34,$-1.96,0.0
2015-06-30,45.25,$-0.43,0.0
2015-03-31,49.14,$0.12,406.13
2014-12-31,48.81,$1.43,34.2
2014-09-30,48.82,$0.25,194.43
2014-06-30,60.62,$0.24,250.48
2014-03-31,65.05,$0.64,102.06
2013-12-31,63.99,$1.23,51.83
2013-09-30,60.71,$1.13,53.58
2013-06-30,51.59,$1.23,42.06
2013-03-31,48.08,$0.93,51.8
2012-12-31,49.22,$1.33,36.89
2012-09-30,46.47,$1.94,23.94
2012-06-30,44.81,$2.27,19.74
2012-03-31,44.27,$2.01,22.04
2011-12-31,35.92,$1.57,22.81
2011-09-30,28.82,$1.41,20.45
2011-06-30,35.77,$1.08,32.99
2011-03-31,35.26,$1.10,31.97
2010-12-31,33.1,$1.47,22.53
2010-09-30,28.3,$1.32,21.46
2010-06-30,23.72,$1.30,18.18
2010-03-31,24.95,$0.83,30.08
2009-12-31,22.93,$0.98,23.31
