FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,253.66,,18.72
2024-02-29,247.71,$13.55,18.28
2023-11-30,256.33,$16.58,15.46
2023-08-31,257.22,$13.25,19.41
2023-05-31,213.61,$10.77,19.83
2023-02-28,198.01,$8.42,23.51
2022-11-30,176.37,$8.28,21.29
2022-08-31,202.94,$11.19,18.13
2022-05-31,215.18,$11.89,18.1
2022-02-28,212.23,$11.73,18.09
2021-11-30,219.29,$10.87,20.17
2021-08-31,252.21,$13.52,18.65
2021-05-31,298.07,$16.24,18.35
2021-02-28,240.36,$14.67,16.38
2020-11-30,270.05,$10.66,25.32
2020-08-31,206.55,$1.05,196.34
2020-05-31,122.06,$-1.44,0.0
2020-02-29,131.31,$-3.88,0.0
2019-11-30,148.25,$-3.05,0.0
2019-05-31,141.78,$0.78,182.38
2019-02-28,165.71,$-1.64,0.0
2018-11-30,208.98,$-4.99,0.0
2018-08-31,222.04,$-11.18,0.0
2018-05-31,226.13,$-12.13,0.0
2019-08-31,146.33,$-13.56,0.0
2018-02-28,223.22,$-6.71,0.0
2017-11-30,209.24,$-4.47,0.0
2017-08-31,193.34,$-0.96,0.0
2017-05-31,174.4,$-0.19,0.0
2017-02-28,173.27,$-1.41,0.0
2016-11-30,171.74,$3.69,46.5
2016-08-31,147.42,$2.13,69.1
2016-05-31,147.09,$3.15,46.64
2016-02-29,121.83,$2.61,46.65
2015-11-30,140.87,$2.36,59.66
2015-08-31,133.61,$2.86,46.71
2015-05-31,153.46,$3.63,42.23
2015-02-28,156.61,$4.07,38.43
2014-11-30,157.49,$3.54,44.43
2014-08-31,130.54,$2.19,59.71
2014-05-31,127.07,$2.42,52.59
2014-02-28,117.4,$2.60,45.08
2013-11-30,121.99,$4.60,26.54
2013-08-31,94.3,$2.62,35.98
2013-05-31,84.49,$4.03,20.98
2013-02-28,92.34,$1.97,46.83
2012-11-30,78.42,$0.29,266.54
2012-05-31,77.7,$2.85,27.31
2012-02-29,78.33,$2.73,28.66
2011-11-30,72.2,$2.16,33.47
2011-08-31,68.29,$0.90,76.25
2011-05-31,81.12,$2.21,36.66
2012-08-31,76.51,$-0.91,0.0
2011-02-28,77.87,$0.54,143.8
2010-11-30,78.82,$1.51,52.08
2010-08-31,67.33,$0.32,210.59
2010-05-31,71.91,$1.14,63.26
2010-02-28,72.92,$0.19,382.96
2009-11-30,72.56,$0.68,106.78
