CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,31.0,,0.0
2024-03-31,28.3,$-2.24,0.0
2023-12-31,28.17,$-0.83,0.0
2023-09-30,26.29,$-1.76,0.0
2023-06-30,28.35,$-2.35,0.0
2023-03-31,28.46,$-2.77,0.0
2022-12-31,28.78,$-4.13,0.0
2022-09-30,26.88,$-3.55,0.0
2022-06-30,28.06,$-2.45,0.0
2022-03-31,28.91,$-1.97,0.0
2021-12-31,26.17,$-5.15,0.0
2021-09-30,22.92,$-4.69,0.0
2021-06-30,22.7,$-5.07,0.0
2021-03-31,20.84,$-4.73,0.0
2020-12-31,19.76,$-1.13,0.0
2020-09-30,17.56,$-1.08,0.0
2020-06-30,16.82,$-0.72,0.0
2020-03-31,13.79,$-1.20,0.0
2019-12-31,24.08,$-1.72,0.0
2019-09-30,26.34,$-1.67,0.0
2019-06-30,24.99,$-1.02,0.0
2019-03-31,26.54,$0.26,100.49
2018-12-31,24.18,$1.07,22.53
2018-09-30,23.45,$1.18,19.81
2018-06-30,23.27,$0.83,27.98
2018-03-31,22.76,$0.25,91.43
2017-12-31,23.31,$-0.02,0.0
2017-09-30,23.79,$0.31,77.04
2017-06-30,22.09,$0.36,61.73
2017-03-31,22.03,$0.48,45.91
2016-12-31,19.49,$1.17,16.62
2016-09-30,18.17,$0.71,25.69
2016-06-30,18.56,$0.59,31.21
2016-03-31,15.99,$0.62,25.97
2015-12-31,13.83,$0.67,20.8
2015-09-30,13.4,$0.67,20.12
2015-06-30,13.96,$0.81,17.32
2015-03-31,14.79,$0.63,23.53
2014-12-31,16.78,$0.06,289.84
2014-09-30,17.36,$0.54,32.13
2014-06-30,17.94,$0.49,36.82
2014-03-31,16.48,$0.33,49.53
2013-12-31,15.96,$0.76,21.04
2013-09-30,16.37,$0.71,22.94
2013-06-30,15.9,$1.04,15.23
2013-03-31,16.08,$1.74,9.22
2012-12-31,12.79,$1.51,8.48
2012-09-30,14.01,$1.53,9.16
2012-06-30,13.46,$1.12,11.97
2012-03-31,12.71,$1.05,12.11
2011-12-31,12.81,$1.36,9.39
2011-09-30,12.39,$1.01,12.3
2011-06-30,12.09,$0.65,18.5
2011-03-31,10.86,$-0.06,0.0
2010-12-31,9.6,$-0.30,0.0
2010-09-30,9.48,$-0.00,0.0
2010-06-30,7.83,$0.52,15.14
2010-03-31,8.43,$1.80,4.68
2009-12-31,8.4,$1.85,4.54
