Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,138.09,,21.52
2024-03-31,162.07,$6.42,25.26
2023-12-31,131.15,$10.17,12.89
2023-09-30,117.27,$15.54,7.55
2023-06-30,92.24,$16.40,5.62
2023-03-31,96.97,$18.25,5.31
2022-12-31,98.51,$18.19,5.41
2022-09-30,75.72,$12.22,6.2
2022-06-30,76.09,$10.96,6.94
2022-03-31,79.35,$12.98,6.11
2021-12-31,65.85,$11.59,5.68
2021-09-30,62.89,$8.72,7.22
2021-06-30,76.09,$4.56,16.69
2020-12-31,60.69,$-1.84,0.0
2020-09-30,44.35,$0.05,881.63
2020-06-30,60.63,$0.05,1165.98
2020-03-31,44.67,$2.22,20.15
2019-12-31,91.85,$6.64,13.83
2021-03-31,71.53,$1.01,70.52
2019-09-30,83.78,$7.75,10.81
2019-06-30,75.84,$5.59,13.56
2019-03-31,76.35,$6.65,11.48
2018-12-31,68.55,$10.41,6.59
2018-09-30,88.95,$6.50,13.69
2018-06-30,88.02,$6.97,12.63
2018-03-31,74.68,$5.77,12.94
2017-12-31,78.16,$3.50,22.31
2017-09-30,70.25,$0.54,129.78
2017-06-30,62.88,$0.89,70.7
2017-03-31,59.71,$-0.80,0.0
2016-12-31,64.61,$0.22,287.8
2016-09-30,59.78,$-1.30,0.0
2016-06-30,58.41,$-0.90,0.0
2016-03-31,63.24,$-1.50,0.0
2015-12-31,59.29,$-0.09,0.0
2015-09-30,55.36,$1.26,43.84
2015-06-30,57.65,$-1.46,0.0
2015-03-31,55.86,$-1.34,0.0
2014-12-31,50.62,$-0.43,0.0
2014-09-30,57.01,$0.41,137.82
2014-06-30,56.06,$4.89,11.47
2014-03-31,53.38,$5.36,9.95
2013-12-31,53.16,$6.86,7.75
2013-09-30,39.61,$7.15,5.54
2013-06-30,40.14,$7.05,5.7
2013-03-31,47.45,$6.98,6.8
