Motorola Solutions Price to Free Cash Flow Ratio Historical Data,Motorola Solutions Price to Free Cash Flow Ratio Historical Data,Motorola Solutions Price to Free Cash Flow Ratio Historical Data,Motorola Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,386.04,,30.19
2024-03-31,354.06,$12.79,27.69
2023-12-31,311.38,$10.41,29.92
2023-09-30,269.92,$10.63,25.4
2023-06-30,289.88,$8.70,33.31
2023-03-31,281.93,$8.19,34.42
2022-12-31,253.09,$9.12,27.76
2022-09-30,219.23,$5.81,37.71
2022-06-30,204.49,$5.75,35.58
2022-03-31,235.39,$7.95,29.62
2021-12-31,263.11,$9.22,28.55
2021-09-30,224.29,$9.19,24.4
2021-06-30,208.74,$9.38,22.25
2021-03-31,180.41,$8.38,21.53
2020-12-31,162.51,$8.34,19.49
2020-09-30,149.21,$8.94,16.68
2020-06-30,132.79,$9.60,13.83
2020-03-31,125.39,$9.75,12.87
2019-12-31,151.32,$9.01,16.8
2019-09-30,159.4,$9.08,17.56
2019-06-30,155.42,$8.14,19.1
2019-03-31,130.43,$9.34,13.97
2018-12-31,106.42,$5.10,20.85
2018-09-30,119.86,$5.41,22.16
2018-06-30,106.74,$4.81,22.21
2018-03-31,96.15,$3.26,29.47
2017-12-31,82.1,$6.87,11.95
2017-09-30,76.69,$6.64,11.54
2017-06-30,77.95,$6.95,11.22
2017-03-31,77.06,$6.02,12.8
2016-12-31,73.66,$7.42,9.93
2016-06-30,57.98,$4.31,13.45
2016-03-31,66.13,$3.42,19.32
2015-12-31,59.45,$4.21,14.13
2015-09-30,59.04,$-0.48,0.0
2015-06-30,49.26,$-2.40,0.0
2015-03-31,56.94,$-2.61,0.0
2014-12-31,57.0,$-3.20,0.0
2014-09-30,53.48,$1.78,30.03
2014-06-30,55.95,$2.55,21.95
2014-03-31,53.78,$1.93,27.93
2013-12-31,56.2,$1.67,33.63
2013-09-30,49.21,$0.16,302.43
2013-06-30,47.58,$0.54,88.28
2013-03-31,52.53,$1.58,33.34
2012-12-31,45.49,$1.91,23.78
2012-09-30,41.1,$1.18,34.78
2012-06-30,38.91,$1.97,19.8
2012-03-31,40.92,$1.43,28.66
2011-12-31,37.11,$1.97,18.87
2011-09-30,33.43,$2.81,11.89
2011-06-30,36.54,$2.32,15.72
2011-03-31,35.47,$2.34,15.14
2010-12-31,29.1,$1.89,15.42
2010-09-30,27.36,$5.41,5.05
2010-06-30,20.92,$4.84,4.32
2010-03-31,22.52,$4.94,4.55
2009-12-31,24.89,$1.48,16.84
2009-09-30,27.56,$0.22,123.63
