Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,73.66,,47.23
2024-03-31,70.32,$1.56,45.09
2023-12-31,76.99,$1.40,55.0
2023-09-30,67.83,$1.33,50.95
2023-06-30,81.26,$1.34,60.85
2023-03-31,73.78,$1.43,51.6
2022-12-31,82.33,$1.55,53.18
2022-09-30,70.47,$1.74,40.55
2022-06-30,85.94,$1.71,50.3
2022-03-31,107.26,$1.86,57.78
2021-12-31,128.05,$1.88,67.97
2021-09-30,119.86,$1.81,66.06
2021-06-30,111.3,$1.90,58.54
2021-03-31,94.33,$1.39,68.04
2020-12-31,78.37,$1.26,62.38
2020-09-30,61.07,$0.31,194.68
2020-06-30,65.02,$0.25,256.39
2020-03-31,46.63,$0.30,154.98
2019-12-31,53.9,$0.32,170.73
2019-06-30,51.03,$1.00,50.82
2019-03-31,48.52,$1.51,32.12
2018-12-31,35.31,$1.48,23.86
2018-09-30,49.7,$1.33,37.51
2018-06-30,35.96,$1.31,27.39
2019-09-30,47.97,$0.78,61.2
2018-03-31,36.64,$0.89,41.06
2017-12-31,31.35,$0.92,34.23
2017-09-30,29.18,$0.96,30.41
2017-06-30,28.29,$0.86,33.01
2017-03-31,24.4,$0.78,31.21
2016-12-31,24.61,$0.87,28.23
2016-09-30,26.12,$0.84,31.15
2016-06-30,26.82,$0.85,31.47
2016-03-31,22.41,$0.83,26.96
2015-12-31,21.26,$0.77,27.46
2015-09-30,21.76,$0.77,28.37
2015-06-30,23.11,$0.80,28.81
2015-03-31,23.46,$0.84,27.88
2014-12-31,21.54,$0.88,24.61
2014-09-30,21.73,$0.84,25.77
2014-06-30,21.43,$0.83,25.81
2014-03-31,19.7,$0.75,26.1
2013-12-31,21.77,$0.73,29.87
2013-09-30,18.34,$0.70,26.26
2013-06-30,15.77,$0.69,23.02
2013-03-31,15.42,$0.76,20.23
2012-12-31,15.46,$0.80,19.21
2012-09-30,16.2,$0.77,20.97
2012-06-30,16.64,$0.82,20.41
2012-03-31,15.66,$0.80,19.66
2011-12-31,15.19,$0.79,19.31
2011-09-30,15.07,$0.86,17.62
2011-06-30,18.4,$0.83,22.15
2011-03-31,15.75,$0.81,19.4
2010-12-31,14.39,$0.74,19.33
2010-09-30,13.47,$0.73,18.46
2010-06-30,12.48,$0.71,17.48
2010-03-31,13.75,$0.68,20.22
2009-12-31,14.77,$1.05,14.02
