RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,101.96,,21.91
2024-03-31,96.94,$4.65,20.83
2023-12-31,83.09,$3.81,21.81
2023-09-30,70.55,$3.61,19.52
2023-06-30,95.37,$1.91,50.0
2023-03-31,94.76,$2.32,40.82
2022-12-31,97.11,$3.28,29.57
2022-09-30,78.32,$2.21,35.47
2022-06-30,91.42,$3.03,30.21
2022-03-31,93.66,$3.12,29.99
2021-12-31,80.93,$3.32,24.38
2021-09-30,80.36,$2.55,31.56
2021-06-30,79.27,$2.36,33.62
2021-03-31,71.37,$1.16,61.54
2020-12-31,65.62,$1.87,35.1
2020-09-30,52.42,$1.85,28.26
2020-06-30,55.71,$2.53,22.05
2020-03-31,84.54,$4.19,20.19
2019-12-31,133.58,$4.58,29.19
2019-09-30,121.17,$1.40,86.25
2019-06-30,115.56,$1.60,72.35
2019-03-31,113.78,$2.66,42.76
2018-12-31,93.44,$1.49,62.92
2018-09-30,122.0,$6.13,19.89
2018-06-30,108.53,$3.87,28.06
2018-03-31,108.61,$3.84,28.29
2017-12-31,109.53,$4.53,24.2
2017-09-30,99.08,$3.84,25.77
2017-06-30,103.61,$6.32,16.38
2017-03-31,94.69,$5.92,15.99
2016-12-31,91.96,$5.71,16.12
2016-09-30,84.71,$6.63,12.78
2016-06-30,84.99,$5.46,15.56
2016-03-31,82.41,$4.93,16.71
2015-12-31,78.52,$5.78,13.59
2015-09-30,72.26,$4.95,14.61
2015-06-30,89.5,$6.01,14.88
2015-03-31,94.05,$6.28,14.98
2014-12-31,91.79,$5.91,15.54
2014-09-30,83.83,$6.43,13.04
2014-06-30,91.14,$5.90,15.45
2014-03-31,91.77,$6.15,14.92
2013-12-31,88.92,$6.28,14.16
2013-09-30,83.79,$5.65,14.83
2013-06-30,71.86,$5.82,12.34
2013-03-31,71.83,$5.72,12.57
2012-12-31,62.68,$5.75,10.89
2012-09-30,59.41,$5.99,9.92
2012-06-30,56.93,$6.47,8.8
2012-03-31,62.11,$6.10,10.18
2011-12-31,54.42,$6.10,8.92
2011-09-30,52.06,$5.62,9.26
2011-06-30,65.06,$5.35,12.15
2011-03-31,61.88,$5.46,11.33
2010-12-31,57.26,$5.29,10.82
2010-09-30,51.52,$5.32,9.69
2010-06-30,46.66,$5.49,8.49
2010-03-31,52.61,$5.61,9.37
2009-12-31,49.3,$4.87,10.11
