Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,377.39,,28.5
2023-12-31,327.85,$13.24,24.76
2023-09-30,311.09,$11.30,27.53
2023-06-30,327.99,$11.65,28.16
2023-03-31,239.76,$11.26,21.29
2022-12-31,230.23,$15.52,14.83
2022-09-30,217.79,$15.83,13.76
2022-06-30,173.53,$13.87,12.51
2022-03-31,177.6,$13.03,13.63
2021-12-31,200.12,$7.90,25.34
2021-09-30,172.7,$7.51,22.99
2021-06-30,177.76,$8.32,21.37
2021-03-31,176.9,$8.45,20.94
2024-03-31,415.05,$11.12,37.32
2020-12-31,147.59,$9.54,15.47
2020-09-30,128.04,$8.94,14.32
2020-06-30,116.57,$9.85,11.84
2020-03-31,105.92,$8.52,12.43
2019-12-31,135.53,$7.86,17.24
2019-09-30,119.74,$9.24,12.97
2019-06-30,118.06,$8.85,13.34
2019-03-31,106.05,$9.20,11.53
2018-12-31,88.67,$7.79,11.38
2018-09-30,119.22,$7.46,15.98
2018-06-30,93.81,$5.89,15.92
2018-03-31,107.29,$4.47,23.99
2017-12-31,118.55,$5.77,20.56
2017-09-30,101.01,$5.54,18.25
2017-06-30,97.91,$6.41,15.28
2017-03-31,103.24,$6.42,16.08
2016-12-31,99.78,$6.37,15.67
2016-09-30,91.55,$8.56,10.69
