General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,67.08,,16.42
2024-02-29,63.64,$4.09,15.57
2023-11-30,62.56,$3.92,15.97
2023-08-31,65.86,$3.38,19.47
2023-05-31,81.29,$3.47,23.39
2023-02-28,76.32,$4.22,18.11
2022-11-30,81.36,$4.02,20.22
2022-08-31,72.73,$4.54,16.01
2022-05-31,65.68,$4.48,14.64
2022-02-28,62.94,$4.02,15.65
2021-11-30,57.23,$4.10,13.95
2021-08-31,53.12,$3.64,14.59
2021-05-31,57.27,$3.96,14.46
2021-02-28,49.71,$5.17,9.62
2020-11-30,54.48,$5.06,10.76
2020-08-31,56.81,$5.18,10.97
2020-05-31,55.56,$5.25,10.59
2020-02-29,42.81,$4.09,10.46
2019-11-30,46.16,$3.98,11.58
2019-08-31,46.15,$3.77,12.23
2019-05-31,42.03,$3.77,11.14
2019-02-28,39.68,$3.57,11.11
2018-11-30,35.2,$3.45,10.21
2018-08-31,37.85,$1.71,22.15
2018-05-31,34.41,$1.79,19.26
2018-02-28,40.68,$1.71,23.73
2017-11-30,45.15,$1.90,23.79
2017-05-31,44.46,$2.90,15.32
2017-02-28,46.91,$4.53,10.36
2016-11-30,46.99,$4.60,10.21
2016-08-31,54.19,$4.56,11.88
2016-05-31,47.72,$5.15,9.26
2017-08-31,42.11,$3.09,13.62
2016-02-29,44.41,$3.51,12.64
2015-11-30,43.24,$1.47,29.45
2015-08-31,42.16,$1.39,30.41
2015-05-31,41.39,$1.84,22.55
2015-02-28,39.34,$1.35,29.1
2014-05-31,39.24,$2.92,13.45
2014-02-28,35.46,$4.68,7.58
2013-11-30,35.46,$2.01,17.64
2013-08-31,34.41,$2.31,14.87
2013-05-31,32.59,$2.99,10.91
2014-11-30,38.28,$0.88,43.3
2013-02-28,31.8,$3.38,9.4
2012-11-30,27.96,$2.85,9.81
2012-08-31,26.61,$2.66,10.0
2012-05-31,25.68,$2.60,9.88
2012-02-29,25.5,$1.94,13.18
2011-11-30,26.39,$2.19,12.05
2011-08-31,24.84,$1.51,16.48
2011-05-31,25.85,$1.33,19.39
2011-02-28,23.95,$1.32,18.09
2010-11-30,22.61,$1.22,18.46
2014-08-31,38.43,$1.61,23.87
2010-08-31,22.97,$2.17,10.57
2010-05-31,22.45,$2.33,9.62
2010-02-28,22.54,$2.36,9.54
2009-11-30,21.14,$2.93,7.22
