Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,256.76,,34.47
2024-03-31,249.72,$7.45,33.52
2023-12-31,231.09,$7.80,29.64
2023-09-30,247.27,$9.18,26.94
2023-06-30,239.19,$9.77,24.48
2023-03-31,250.91,$10.00,25.09
2022-12-31,263.94,$10.05,26.26
2022-09-30,256.61,$9.58,26.79
2022-06-30,251.63,$9.66,26.06
2022-03-31,290.86,$9.79,29.71
2021-12-31,325.96,$9.68,33.68
2021-09-30,301.42,$9.79,30.78
2021-06-30,265.52,$9.47,28.03
2021-03-31,222.52,$8.79,25.32
2020-12-31,219.4,$7.54,29.1
2020-09-30,212.51,$6.15,34.54
2020-06-30,174.36,$5.15,33.83
2020-03-31,136.33,$4.77,28.55
2019-12-31,150.98,$4.59,32.9
2019-09-30,141.92,$4.84,29.35
2019-06-30,140.27,$4.82,29.12
2019-03-31,129.42,$4.66,27.78
2018-12-31,100.95,$4.85,20.82
2018-09-30,106.21,$4.30,24.68
2018-06-30,96.31,$4.55,21.18
2018-03-31,95.41,$4.57,20.89
2017-12-31,90.3,$4.16,21.69
2017-09-30,83.32,$3.86,21.59
2017-06-30,81.84,$3.48,23.5
2017-03-31,82.81,$3.84,21.56
2016-12-31,75.24,$4.20,17.9
2016-09-30,75.65,$5.06,14.96
2016-06-30,73.78,$5.39,13.69
2016-03-31,69.18,$5.09,13.58
2015-12-31,67.62,$4.73,14.3
2015-09-30,61.95,$4.82,12.86
2015-06-30,62.12,$4.77,13.01
2015-03-31,61.53,$4.62,13.31
2014-12-31,62.01,$4.59,13.51
2014-09-30,54.91,$4.24,12.94
2014-06-30,56.82,$4.17,13.62
2014-03-31,54.06,$4.07,13.29
2013-12-31,55.57,$4.27,13.02
2013-09-30,49.89,$3.92,12.72
2013-06-30,45.54,$3.96,11.5
2013-03-31,44.69,$4.14,10.79
2012-12-31,40.18,$4.15,9.69
2012-09-30,39.62,$4.22,9.39
2012-06-30,37.4,$3.83,9.77
2012-03-31,40.2,$3.44,11.7
2011-12-31,33.75,$3.27,10.33
2011-09-30,30.07,$3.01,9.99
2011-06-30,37.98,$2.97,12.77
2011-03-31,37.18,$2.82,13.19
2010-12-31,33.78,$2.77,12.18
2010-09-30,29.07,$2.66,10.93
2010-06-30,26.56,$2.59,10.27
2010-03-31,28.57,$2.53,11.28
2009-12-31,26.87,$2.43,11.07
