Brown-Forman Price to Free Cash Flow Ratio Historical Data,Brown-Forman Price to Free Cash Flow Ratio Historical Data,Brown-Forman Price to Free Cash Flow Ratio Historical Data,Brown-Forman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,43.66,,0.0
2024-01-31,54.9,$-0.06,0.0
2023-10-31,56.16,$-0.23,0.0
2023-04-30,65.09,$0.95,68.43
2023-01-31,66.58,$2.32,28.69
2022-10-31,68.0,$2.20,30.92
2022-07-31,74.22,$2.62,28.33
2022-04-30,67.44,$2.60,25.93
2023-07-31,70.6,$1.27,55.44
2022-01-31,67.43,$1.76,38.25
2021-10-31,67.89,$1.67,40.63
2021-07-31,70.92,$1.77,40.11
2021-04-30,76.11,$1.57,48.46
2021-01-31,71.33,$1.49,47.8
2020-10-31,69.22,$1.51,45.82
2020-07-31,68.7,$1.32,51.9
2020-04-30,61.47,$1.27,48.33
2020-01-31,66.66,$1.27,52.5
2019-10-31,64.4,$1.25,51.56
2019-07-31,53.73,$1.31,41.13
2019-04-30,52.08,$1.41,36.87
2019-01-31,46.02,$1.12,41.18
2018-10-31,44.98,$1.22,36.86
2018-07-31,51.5,$1.14,45.2
2018-04-30,54.08,$1.09,49.79
2018-01-31,52.39,$1.34,39.18
2017-10-31,42.97,$1.16,36.99
2017-07-31,37.11,$0.46,80.77
2017-04-30,35.42,$0.40,87.87
2017-01-31,34.01,$0.59,58.04
2016-10-31,34.29,$0.06,532.5
2016-04-30,35.53,$0.81,43.61
2016-01-31,35.96,$1.40,25.66
2015-10-31,38.9,$1.10,35.27
2015-07-31,39.59,$1.64,24.21
2015-04-30,32.84,$1.30,25.3
2016-07-31,36.34,$0.76,47.9
2015-01-31,32.23,$0.94,34.12
2014-10-31,33.5,$0.17,191.86
2014-07-31,31.22,$0.55,56.34
2014-04-30,32.23,$0.74,43.44
2014-01-31,27.57,$0.43,63.54
2013-04-30,24.95,$0.82,30.34
2013-01-31,22.82,$1.16,19.69
2012-10-31,21.21,$0.50,42.16
2012-07-31,20.58,$0.73,28.37
2012-04-30,18.92,$0.74,25.49
2013-10-31,26.03,$0.26,99.3
2012-01-31,17.71,$0.79,22.54
2011-10-31,16.23,$1.04,15.66
2011-07-31,15.9,$1.02,15.66
2011-04-30,15.46,$1.05,14.78
2011-01-31,14.21,$1.02,13.91
2013-07-31,25.76,$0.63,40.96
2010-10-31,12.78,$0.89,14.32
2010-07-31,13.22,$0.91,14.59
2010-04-30,12.1,$0.92,13.14
2010-01-31,10.62,$0.98,10.88
2009-10-31,10.04,$1.13,8.92
