Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,58.1,,25.23
2024-03-31,57.63,$2.30,25.03
2023-12-31,48.59,$8.81,5.52
2023-09-30,39.99,$5.97,6.7
2022-12-31,39.53,$7.05,5.61
2022-09-30,38.25,$6.36,6.02
2022-06-30,36.99,$2.00,18.5
2022-03-31,45.51,$-1.93,0.0
2021-12-31,44.86,$-2.81,0.0
2021-09-30,43.22,$-9.50,0.0
2021-06-30,42.0,$-10.41,0.0
2021-03-31,36.15,$-1.86,0.0
2020-12-31,27.84,$1.79,15.53
2020-09-30,21.59,$4.39,4.92
2020-06-30,23.41,$6.40,3.66
2019-12-31,47.72,$1.52,31.38
2019-09-30,44.32,$1.98,22.37
2019-06-30,41.13,$9.08,4.53
2019-03-31,41.6,$10.62,3.92
2018-12-31,39.31,$8.73,4.5
2020-03-31,25.73,$8.54,3.01
2018-09-30,44.48,$4.40,10.1
2018-06-30,46.57,$6.45,7.22
2018-03-31,43.7,$7.55,5.79
2017-12-31,50.28,$3.99,12.61
2017-09-30,45.39,$2.52,18.01
2016-12-31,44.42,$0.20,225.15
2016-09-30,35.4,$0.55,63.88
2016-06-30,37.53,$-1.04,0.0
2016-03-31,38.05,$4.04,9.42
2015-12-31,42.44,$2.57,16.49
2017-06-30,45.28,$1.75,25.89
2015-09-30,39.82,$4.34,9.17
2015-06-30,43.33,$1.67,25.91
2015-03-31,41.63,$3.85,10.82
2014-12-31,41.67,$2.76,15.09
2014-09-30,39.17,$2.76,14.19
2023-06-30,41.45,$4.49,9.24
2014-06-30,39.42,$6.55,6.02
2014-03-31,37.04,$9.32,3.97
2013-12-31,33.58,$10.73,3.13
2013-09-30,30.35,$9.74,3.12
2013-06-30,30.1,$7.38,4.08
2023-03-31,36.01,$8.00,4.5
2013-03-31,26.77,$9.67,2.77
2012-12-31,24.56,$10.94,2.25
2012-09-30,24.65,$4.83,5.1
2012-06-30,23.72,$3.80,6.24
2012-03-31,24.06,$2.32,10.37
2011-12-31,19.28,$2.57,7.51
2011-09-30,16.8,$8.08,2.08
2011-06-30,19.46,$8.92,2.18
2011-03-31,21.9,$7.91,2.77
2010-12-31,21.32,$6.19,3.44
2017-03-31,45.17,$6.91,6.53
2010-09-30,17.24,$5.23,3.3
2010-06-30,17.55,$5.51,3.18
2010-03-31,21.3,$4.23,5.03
2009-12-31,18.44,$6.27,2.94
