Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,49.38,,28.62
2024-03-31,47.78,$1.73,27.69
2023-12-31,40.06,$1.77,22.57
2023-09-30,36.74,$1.83,20.03
2023-06-30,47.1,$1.25,37.64
2023-03-31,34.6,$1.92,18.02
2022-12-31,32.56,$-0.00,0.0
2022-09-30,27.8,$0.54,51.36
2022-06-30,28.7,$0.38,75.7
2022-03-31,39.21,$-0.36,0.0
2021-12-31,38.72,$0.03,1461.21
2021-09-30,42.22,$-1.81,0.0
2021-06-30,42.86,$-5.02,0.0
2021-03-31,47.84,$-7.64,0.0
2020-12-31,39.84,$-8.95,0.0
2020-09-30,30.3,$-6.27,0.0
2020-06-30,27.79,$0.02,1527.09
2020-03-31,28.27,$3.56,7.94
2019-12-31,57.55,$5.34,10.77
2019-09-30,56.26,$2.84,19.8
2019-06-30,55.08,$1.62,33.99
2019-03-31,49.83,$0.92,54.38
2018-12-31,47.8,$0.15,309.99
2018-09-30,55.05,$3.86,14.25
2018-06-30,46.84,$3.96,11.84
2018-03-31,51.52,$-3.39,0.0
2017-12-31,52.34,$-3.12,0.0
2017-09-30,44.79,$-2.47,0.0
2017-06-30,49.61,$-0.52,0.0
2016-12-31,45.03,$5.06,8.89
2016-09-30,35.87,$13.11,2.74
2016-06-30,33.02,$9.22,3.58
2016-03-31,43.98,$8.34,5.27
2015-12-31,45.65,$10.44,4.37
2017-03-31,42.24,$3.28,12.89
2015-09-30,40.3,$5.49,7.34
2015-06-30,36.79,$4.61,7.98
2015-03-31,40.19,$4.15,9.69
2014-12-31,43.88,$3.27,13.42
2014-09-30,32.18,$3.56,9.03
2014-06-30,34.38,$3.09,11.13
2014-03-31,30.72,$2.29,13.42
2013-12-31,24.3,$2.31,10.52
2013-09-30,20.83,$2.05,10.14
2013-06-30,16.47,$1.48,11.11
2013-03-31,14.53,$0.51,28.25
2012-12-31,10.45,$0.60,17.49
2012-09-30,8.06,$1.52,5.31
2012-06-30,9.64,$1.09,8.87
2012-03-31,8.73,$1.84,4.75
2011-12-31,7.12,$1.87,3.8
2011-09-30,6.6,$0.81,8.14
2011-06-30,8.07,$1.34,6.01
2011-03-31,8.63,$1.54,5.62
2010-12-31,11.09,$1.77,6.28
2010-09-30,10.25,$1.13,9.05
2010-06-30,10.34,$0.83,12.49
2010-03-31,12.84,$0.64,20.1
2009-12-31,10.02,$0.21,46.81
