DexCom Price to Free Cash Flow Ratio Historical Data,DexCom Price to Free Cash Flow Ratio Historical Data,DexCom Price to Free Cash Flow Ratio Historical Data,DexCom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,110.57,,13.32
2024-03-31,138.7,$8.30,16.71
2023-12-31,124.09,$8.13,15.26
2023-09-30,93.3,$6.15,15.18
2023-06-30,128.51,$6.06,21.2
2023-03-31,116.18,$5.96,19.49
2022-12-31,113.24,$5.69,19.9
2022-09-30,80.54,$6.83,11.79
2022-06-30,74.53,$6.72,11.08
2022-03-31,127.9,$6.44,19.87
2021-12-31,134.24,$6.34,21.17
2021-09-30,136.72,$0.31,443.59
2021-06-30,106.75,$0.23,463.53
2021-03-31,89.85,$0.57,157.82
2020-12-31,92.43,$0.66,140.49
2020-09-30,103.06,$0.68,150.65
2020-06-30,101.35,$0.56,181.63
2020-03-31,67.32,$0.36,188.46
2019-12-31,54.69,$0.36,150.11
2019-09-30,37.31,$0.14,262.19
2019-06-30,37.46,$0.11,334.76
2019-03-31,29.78,$0.15,196.41
2018-12-31,29.95,$0.16,188.36
2018-09-30,35.76,$0.18,199.33
2018-06-30,23.75,$0.15,154.89
2018-03-31,18.54,$0.07,254.32
2017-12-31,14.35,$0.08,190.54
2017-09-30,12.23,$-0.01,0.0
2017-06-30,18.29,$-0.05,0.0
2017-03-31,21.18,$-0.03,0.0
2016-12-31,14.93,$0.00,0.0
2016-09-30,21.92,$0.01,1588.04
2016-06-30,19.83,$0.03,774.71
2016-03-31,16.98,$0.03,597.8
2015-12-31,20.48,$0.05,416.16
2015-09-30,21.47,$0.06,343.44
2015-06-30,20.0,$0.06,360.27
2015-03-31,15.59,$0.03,497.92
2014-12-31,13.76,$0.02,559.45
2014-09-30,10.0,$0.02,523.43
2014-06-30,9.92,$-0.01,0.0
2014-03-31,10.34,$-0.02,0.0
2013-12-31,8.85,$-0.02,0.0
2013-09-30,7.06,$-0.07,0.0
2013-06-30,5.61,$-0.10,0.0
2013-03-31,4.18,$-0.13,0.0
2012-12-31,3.4,$-0.16,0.0
2012-09-30,3.76,$-0.17,0.0
2012-06-30,3.24,$-0.17,0.0
2012-03-31,2.61,$-0.15,0.0
2011-12-31,2.33,$-0.15,0.0
2011-09-30,3.0,$-0.16,0.0
2011-06-30,3.62,$-0.18,0.0
2011-03-31,3.88,$-0.21,0.0
2010-12-31,3.41,$-0.22,0.0
2010-09-30,3.31,$-0.20,0.0
2010-06-30,2.89,$-0.21,0.0
2010-03-31,2.44,$-0.23,0.0
2009-12-31,2.02,$-0.24,0.0
