Fortive Price to Free Cash Flow Ratio Historical Data,Fortive Price to Free Cash Flow Ratio Historical Data,Fortive Price to Free Cash Flow Ratio Historical Data,Fortive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,73.6,,19.46
2024-03-31,86.02,$3.78,22.75
2023-12-31,73.56,$3.52,20.87
2023-09-30,74.0,$3.53,20.97
2023-06-30,74.55,$3.31,22.5
2023-03-31,67.89,$3.23,20.99
2022-12-31,63.92,$3.35,19.1
2022-09-30,57.94,$2.96,19.59
2022-06-30,53.99,$2.72,19.84
2022-03-31,60.42,$2.73,22.12
2021-12-31,75.57,$2.60,29.08
2021-09-30,69.84,$2.40,29.12
2021-06-30,68.95,$3.14,21.97
2021-03-31,69.78,$3.70,18.85
2020-12-31,69.88,$3.79,18.45
2020-09-30,63.03,$4.62,13.65
2020-06-30,55.9,$4.28,13.06
2020-03-31,45.55,$3.61,12.6
2019-12-31,62.98,$3.52,17.9
2019-09-30,56.47,$3.55,15.92
2019-06-30,67.08,$3.52,19.03
2019-03-31,68.97,$3.74,18.46
2018-12-31,55.57,$3.76,14.8
2018-09-30,69.16,$3.63,19.07
2018-06-30,63.28,$3.43,18.44
2018-03-31,63.56,$3.15,20.2
2017-12-31,59.27,$3.08,19.23
2017-09-30,57.93,$2.67,21.74
2017-06-30,51.79,$3.94,13.13
