Super Micro Computer Price to Free Cash Flow Ratio Historical Data,Super Micro Computer Price to Free Cash Flow Ratio Historical Data,Super Micro Computer Price to Free Cash Flow Ratio Historical Data,Super Micro Computer Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,905.26,,0.0
2024-03-31,1010.03,$-32.07,0.0
2023-12-31,284.26,$-2.78,0.0
2023-09-30,274.22,$10.38,26.42
2023-06-30,249.25,$11.20,22.26
2023-03-31,106.55,$10.76,9.91
2022-12-31,82.1,$2.96,27.69
2022-09-30,55.07,$-0.81,0.0
2022-06-30,40.35,$-9.06,0.0
2022-03-31,38.07,$-7.43,0.0
2021-12-31,43.95,$-5.68,0.0
2021-09-30,36.57,$-3.53,0.0
2021-06-30,35.18,$1.21,28.99
2021-03-31,39.06,$-1.71,0.0
2020-12-31,31.66,$0.33,96.67
2020-09-30,26.4,$0.73,35.95
2020-06-30,28.39,$-1.41,0.0
2020-03-31,21.28,$4.51,4.72
2019-12-31,15.65,$5.81,2.69
2019-09-30,15.65,$5.53,2.83
2019-06-30,15.65,$5.65,2.77
2018-09-30,15.65,$1.67,9.37
2018-06-30,23.65,$1.14,20.72
2018-03-31,17.0,$-0.19,0.0
2017-12-31,20.93,$-0.94,0.0
2017-09-30,22.1,$-1.86,0.0
2017-06-30,24.65,$-2.43,0.0
2017-03-31,25.35,$-2.09,0.0
2016-12-31,28.05,$-1.39,0.0
2016-09-30,23.37,$0.72,32.35
2016-06-30,24.85,$1.43,17.44
2016-03-31,34.08,$-0.00,0.0
2015-12-31,24.51,$0.17,144.18
2015-09-30,27.26,$-1.85,0.0
2015-06-30,29.58,$-1.62,0.0
2015-03-31,33.21,$-4.23,0.0
2014-12-31,34.88,$-0.61,0.0
2014-09-30,29.42,$0.10,286.74
2014-06-30,25.27,$-1.10,0.0
2019-03-31,15.65,$3.20,4.89
2014-03-31,17.37,$-0.53,0.0
2013-12-31,17.16,$-1.56,0.0
2013-09-30,13.54,$0.50,27.22
2013-06-30,10.64,$0.82,13.02
2013-03-31,11.29,$0.21,54.04
2018-12-31,15.65,$1.28,12.19
2012-12-31,10.2,$-0.55,0.0
2012-09-30,12.03,$-1.14,0.0
2012-06-30,15.86,$-0.13,0.0
2012-03-31,17.46,$0.10,169.19
2011-12-31,15.68,$-0.21,0.0
2011-09-30,12.53,$-0.24,0.0
2011-06-30,16.09,$-0.40,0.0
2011-03-31,16.04,$-0.83,0.0
2010-12-31,11.54,$-0.54,0.0
2010-09-30,10.39,$-0.59,0.0
2010-06-30,13.5,$-0.60,0.0
2010-03-31,17.28,$-0.07,0.0
2009-12-31,11.12,$0.72,15.44
