Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,883.88,,0.0
2024-03-31,776.68,$-0.10,0.0
2023-12-31,580.96,$0.88,662.14
2023-09-30,534.34,$3.70,144.53
2023-06-30,465.56,$4.11,113.41
2023-03-31,340.03,$5.13,66.27
2022-12-31,361.06,$6.34,56.99
2022-09-30,318.25,$7.21,44.12
2022-06-30,318.1,$6.87,46.33
2022-03-31,280.02,$7.49,37.38
2021-12-31,268.97,$6.64,40.49
2021-09-30,224.25,$5.97,37.55
2021-06-30,222.05,$6.10,36.39
2021-03-31,179.95,$7.00,25.72
2020-12-31,161.96,$5.60,28.91
2020-09-30,141.24,$5.82,24.26
2020-06-30,155.9,$5.64,27.66
2020-03-31,131.11,$4.09,32.05
2019-12-31,123.57,$4.06,30.41
2019-09-30,104.54,$3.36,31.16
2019-06-30,103.57,$3.80,27.25
2019-03-31,120.63,$4.09,29.48
2018-12-31,107.01,$4.17,25.64
2018-09-30,98.73,$4.42,22.32
2018-06-30,78.08,$4.17,18.74
2018-03-31,70.31,$4.34,16.19
2017-12-31,76.19,$4.31,17.66
2017-09-30,76.68,$4.64,16.53
2017-06-30,73.31,$4.44,16.52
2017-03-31,74.44,$4.17,17.83
2016-12-31,64.66,$3.66,17.66
2016-09-30,70.1,$2.75,25.45
2016-06-30,68.35,$2.18,31.31
2016-03-31,62.09,$1.77,35.01
2015-12-31,72.15,$1.87,38.62
2015-09-30,71.21,$2.18,32.68
2015-06-30,70.62,$2.70,26.17
2015-03-31,61.03,$2.76,22.11
2014-12-31,57.55,$3.08,18.67
2014-09-30,53.7,$3.43,15.64
2014-06-30,51.07,$3.74,13.66
2014-03-31,47.96,$4.38,10.95
2013-12-31,41.18,$4.52,9.11
2013-09-30,40.25,$4.28,9.4
2013-06-30,38.93,$3.89,10.0
2013-03-31,44.62,$3.51,12.71
2012-12-31,38.4,$3.96,9.7
2012-09-30,36.53,$4.41,8.29
2012-06-30,32.69,$4.89,6.68
2012-03-31,30.31,$5.60,5.42
2011-12-31,30.9,$5.91,5.23
2011-09-30,27.13,$6.18,4.39
2011-06-30,27.16,$5.92,4.59
2011-03-31,25.13,$5.81,4.33
2010-12-31,24.69,$5.60,4.41
2010-09-30,25.39,$5.41,4.7
2010-06-30,22.97,$5.00,4.6
2010-03-31,24.49,$4.09,6.0
2009-12-31,23.81,$3.27,7.29
