Ball Price to Free Cash Flow Ratio Historical Data,Ball Price to Free Cash Flow Ratio Historical Data,Ball Price to Free Cash Flow Ratio Historical Data,Ball Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,60.66,,515.38
2024-03-31,67.36,$0.12,572.3
2023-12-31,57.34,$2.58,22.22
2023-09-30,49.45,$1.40,35.21
2023-06-30,57.61,$-1.16,0.0
2023-03-31,54.33,$-2.59,0.0
2022-12-31,50.24,$-4.22,0.0
2022-09-30,47.3,$-3.60,0.0
2022-06-30,67.07,$-1.97,0.0
2022-03-31,87.53,$-0.96,0.0
2021-12-31,93.42,$0.10,911.43
2021-09-30,87.12,$0.99,88.41
2021-06-30,78.29,$1.24,63.21
2021-03-31,81.74,$1.21,67.41
2020-12-31,89.72,$0.96,93.61
2020-09-30,79.91,$1.10,72.72
2020-06-30,66.68,$0.81,82.26
2020-03-31,61.92,$0.85,73.05
2019-12-31,61.79,$2.79,22.12
2019-09-30,69.41,$1.63,42.54
2019-06-30,66.6,$2.09,31.83
2019-03-31,54.93,$2.19,25.12
2018-12-31,43.57,$2.13,20.47
2018-09-30,41.6,$2.81,14.8
2018-06-30,33.54,$2.50,13.44
2018-03-31,37.36,$3.17,11.79
2017-12-31,35.52,$2.58,13.75
2017-09-30,38.66,$2.01,19.26
2017-06-30,39.41,$-0.40,0.0
2017-03-31,34.59,$-0.90,0.0
2016-12-31,34.9,$-1.28,0.0
2016-09-30,38.04,$-1.49,0.0
2016-06-30,33.5,$1.90,17.66
2016-03-31,32.97,$-0.15,0.0
2015-12-31,33.58,$2.47,13.59
2015-09-30,28.66,$2.77,10.34
2015-03-31,32.43,$1.85,17.51
2014-12-31,31.24,$2.18,14.33
2014-09-30,28.94,$3.01,9.61
2014-06-30,28.61,$1.46,19.58
2014-03-31,24.96,$1.82,13.75
2013-12-31,23.47,$2.90,8.09
2015-06-30,32.26,$-0.06,0.0
2013-09-30,20.34,$1.50,13.56
2013-06-30,18.77,$0.98,19.2
2013-03-31,21.44,$1.29,16.6
2012-12-31,20.1,$1.73,11.59
2012-09-30,18.96,$1.72,11.0
2012-06-30,18.35,$1.45,12.67
2012-03-31,19.13,$1.07,17.84
2011-12-31,15.89,$1.50,10.62
2011-09-30,13.77,$0.41,33.4
2011-06-30,17.04,$0.67,25.38
2011-03-31,15.86,$1.04,15.24
2010-12-31,15.02,$0.72,20.81
2010-09-30,12.97,$2.01,6.46
2010-06-30,11.62,$1.17,9.92
2010-03-31,11.72,$1.24,9.44
2009-12-31,11.33,$1.06,10.71
