Builders FirstSource Price to Free Cash Flow Ratio Historical Data,Builders FirstSource Price to Free Cash Flow Ratio Historical Data,Builders FirstSource Price to Free Cash Flow Ratio Historical Data,Builders FirstSource Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,143.19,,11.56
2024-03-31,208.55,$12.39,16.83
2023-12-31,166.94,$14.55,11.47
2023-09-30,124.49,$15.30,8.14
2023-06-30,136.0,$20.53,6.62
2023-03-31,88.78,$23.27,3.81
2022-12-31,64.88,$20.00,3.24
2022-09-30,58.92,$19.37,3.04
2022-06-30,53.7,$14.83,3.62
2022-03-31,64.54,$9.38,6.88
2021-12-31,85.71,$7.52,11.4
2021-09-30,51.74,$4.36,11.86
2021-06-30,42.66,$-1.07,0.0
2021-03-31,46.37,$0.86,53.78
2020-12-31,40.81,$1.33,30.75
2020-09-30,32.62,$1.58,20.69
2020-06-30,20.7,$3.21,6.45
2020-03-31,12.23,$2.86,4.28
2019-12-31,25.41,$3.40,7.48
2019-09-30,20.58,$4.63,4.44
2019-06-30,16.86,$4.64,3.63
2019-03-31,13.34,$3.17,4.21
2018-12-31,10.91,$1.60,6.83
2018-09-30,14.68,$0.89,16.47
2018-06-30,18.29,$0.02,909.95
2018-03-31,19.84,$0.61,32.69
2017-12-31,21.79,$1.03,21.15
2017-09-30,17.99,$0.96,18.78
2017-06-30,15.32,$0.71,21.71
2017-03-31,14.9,$0.29,51.33
2016-12-31,10.97,$1.09,10.06
2016-09-30,11.51,$0.15,77.4
2016-06-30,11.25,$0.83,13.59
2016-03-31,11.27,$0.85,13.22
2015-12-31,11.08,$1.33,8.32
2015-09-30,12.68,$0.74,17.21
2015-06-30,12.84,$0.17,77.26
2015-03-31,6.67,$-0.06,0.0
2014-12-31,6.87,$0.02,346.97
2014-09-30,5.45,$0.18,30.57
2014-06-30,7.48,$0.20,38.03
2014-03-31,9.1,$-0.26,0.0
2013-12-31,7.13,$-0.62,0.0
2013-09-30,5.88,$-0.84,0.0
2013-06-30,5.98,$-1.30,0.0
2013-03-31,5.86,$-0.90,0.0
2012-12-31,5.58,$-0.81,0.0
2012-09-30,5.19,$-0.82,0.0
2012-06-30,4.74,$-0.76,0.0
2012-03-31,4.23,$-0.65,0.0
2011-12-31,2.04,$-0.75,0.0
2011-09-30,1.27,$-0.74,0.0
2011-06-30,2.15,$-0.67,0.0
2011-03-31,2.84,$-0.47,0.0
2010-12-31,1.97,$-0.55,0.0
2010-09-30,2.28,$-0.65,0.0
2010-06-30,2.4,$-1.02,0.0
2010-03-31,3.15,$-0.32,0.0
2009-12-31,3.84,$-0.07,0.0
