Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,148.75,,19.59
2024-03-31,156.9,$7.59,20.67
2023-12-31,154.29,$7.27,21.23
2023-09-30,152.11,$6.28,24.22
2023-06-30,160.5,$5.63,28.53
2023-03-31,149.17,$6.23,23.94
2022-12-31,168.82,$6.65,25.37
2022-09-30,155.12,$6.80,22.82
2022-06-30,167.43,$7.60,22.02
2022-03-31,166.12,$7.52,22.1
2021-12-31,159.31,$7.65,20.81
2021-09-30,149.41,$8.72,17.13
2021-06-30,151.5,$8.77,17.27
2021-03-31,150.21,$8.14,18.45
2020-12-31,142.95,$7.67,18.63
2020-09-30,134.28,$6.91,19.43
2020-06-30,126.0,$6.65,18.95
2020-03-31,116.68,$8.50,13.72
2019-12-31,128.95,$8.64,14.93
2019-09-30,113.59,$9.35,12.15
2019-06-30,122.28,$8.74,13.99
2019-03-31,121.89,$8.04,15.16
2018-12-31,111.79,$7.97,14.04
2018-09-30,118.93,$7.48,15.91
2018-06-30,103.75,$7.70,13.47
2018-03-31,108.77,$7.36,14.77
2017-12-31,117.84,$7.14,16.5
2017-09-30,108.99,$7.11,15.33
2017-06-30,110.2,$6.62,16.64
2017-03-31,103.07,$6.33,16.28
2016-12-31,94.72,$6.03,15.72
2016-09-30,96.46,$5.86,16.45
2016-06-30,98.39,$6.19,15.89
2016-03-31,87.14,$6.66,13.09
2015-12-31,82.14,$6.96,11.81
2015-09-30,74.1,$6.13,12.09
2015-06-30,76.76,$6.80,11.29
2015-03-31,78.66,$6.56,11.99
2014-12-31,81.2,$6.85,11.85
2014-09-30,82.23,$6.76,12.17
2014-06-30,80.17,$5.83,13.76
2014-03-31,74.75,$5.49,13.61
2013-12-31,69.2,$4.96,13.95
2013-09-30,65.05,$4.94,13.18
2013-06-30,63.95,$4.71,13.57
2013-03-31,60.27,$4.64,12.99
2012-12-31,51.41,$4.97,10.35
2012-09-30,50.1,$5.02,9.98
2012-06-30,48.67,$5.05,9.64
2012-03-31,47.07,$4.83,9.75
2011-12-31,46.39,$4.59,10.1
2011-09-30,44.63,$4.62,9.65
2011-06-30,46.21,$4.71,9.81
2011-03-31,40.8,$4.72,8.65
2010-12-31,42.21,$5.21,8.1
2010-09-30,41.92,$5.76,7.28
2010-06-30,39.59,$5.69,6.96
2010-03-31,43.31,$5.50,7.87
2009-12-31,42.46,$5.15,8.25
