MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,71.27,,3.83
2024-03-31,73.55,$18.60,3.95
2023-12-31,65.11,$18.00,3.62
2023-09-30,61.4,$14.01,4.38
2023-06-30,54.73,$14.81,3.7
2023-03-31,55.56,$16.26,3.42
2022-12-31,68.91,$16.13,4.27
2022-09-30,57.48,$19.19,2.99
2022-06-30,58.92,$17.84,3.3
2022-03-31,65.44,$14.98,4.37
2021-12-31,57.79,$14.20,4.07
2021-09-30,56.66,$14.07,4.03
2021-06-30,54.5,$14.06,3.88
2021-03-31,54.96,$12.41,4.43
2020-12-31,42.07,$12.75,3.3
2020-09-30,32.92,$12.51,2.63
2020-06-30,31.95,$12.87,2.48
2020-03-31,26.39,$14.45,1.83
2019-12-31,43.62,$14.60,2.99
2019-09-30,39.99,$10.34,3.87
2019-06-30,41.71,$9.51,4.38
2019-03-31,35.42,$12.49,2.84
2018-12-31,33.85,$11.58,2.92
2018-09-30,38.16,$12.27,3.11
2018-06-30,35.28,$13.05,2.7
2018-03-31,36.8,$10.72,3.43
2017-12-31,40.21,$11.39,3.53
2017-09-30,41.01,$14.65,2.8
2017-06-30,38.49,$12.82,3.0
2017-03-31,36.73,$13.51,2.72
2016-12-31,37.18,$13.33,2.79
2016-09-30,30.4,$12.25,2.48
2016-06-30,26.98,$11.94,2.26
2016-03-31,29.49,$11.81,2.5
2015-12-31,32.07,$12.45,2.57
2015-09-30,31.13,$13.17,2.36
2015-06-30,36.72,$14.38,2.55
2015-03-31,32.91,$14.52,2.27
2014-12-31,34.97,$14.33,2.44
2014-09-30,34.51,$15.11,2.28
2014-06-30,35.45,$13.90,2.55
2014-03-31,33.45,$14.15,2.36
2013-12-31,33.97,$14.45,2.35
2013-09-30,29.41,$10.52,2.8
2013-06-30,28.5,$11.23,2.54
2013-03-31,23.52,$13.00,1.81
2012-12-31,20.28,$15.94,1.27
2012-09-30,20.74,$15.50,1.34
2012-06-30,18.57,$14.59,1.27
2012-03-31,22.48,$11.76,1.91
2011-12-31,18.77,$9.62,1.95
2011-09-30,16.5,$11.57,1.43
2011-06-30,25.84,$10.58,2.44
2011-03-31,26.35,$8.78,3.0
2010-12-31,26.18,$8.98,2.92
2010-09-30,22.26,$7.22,3.08
2010-06-30,21.86,$10.87,2.01
2010-03-31,25.09,$9.33,2.69
2009-12-31,20.46,$4.65,4.4
