Digital Realty Trust Price to Free Cash Flow Ratio Historical Data,Digital Realty Trust Price to Free Cash Flow Ratio Historical Data,Digital Realty Trust Price to Free Cash Flow Ratio Historical Data,Digital Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,148.35,,9.13
2024-03-31,142.88,$16.25,8.79
2023-12-31,132.36,$13.77,9.62
2023-09-30,117.94,$13.44,8.78
2023-06-30,109.93,$6.88,15.98
2023-03-31,93.82,$6.66,14.09
2022-12-31,94.6,$6.48,14.6
2022-09-30,92.5,$9.79,9.45
2022-06-30,119.82,$9.23,12.99
2022-03-31,129.6,$9.36,13.84
2021-12-31,160.18,$11.98,13.37
2021-09-30,129.92,$9.20,14.13
2021-06-30,134.31,$9.58,14.02
2021-03-31,124.83,$8.89,14.04
2020-12-31,122.59,$8.65,14.17
2020-09-30,127.85,$8.68,14.73
2020-06-30,122.84,$8.14,15.1
2020-03-31,119.1,$8.94,13.32
2019-12-31,101.77,$7.23,14.08
2019-09-30,109.3,$7.21,15.16
2019-06-30,98.34,$7.92,12.42
2019-03-31,98.46,$7.91,12.44
2018-12-31,87.34,$8.09,10.8
2018-09-30,91.4,$5.94,15.39
2018-06-30,89.93,$4.82,18.64
2018-03-31,84.13,$4.52,18.63
2017-12-31,90.07,$3.98,22.61
2017-09-30,92.83,$5.74,16.17
2017-06-30,87.93,$2.72,32.36
2017-03-31,82.16,$2.46,33.42
2016-12-31,75.21,$2.64,28.52
2016-09-30,73.66,$2.22,33.11
2016-06-30,81.89,$5.67,14.45
2016-03-31,65.91,$6.48,10.17
2015-12-31,55.75,$6.36,8.77
2015-09-30,47.58,$6.33,7.52
2015-06-30,47.91,$5.98,8.01
2015-03-31,46.78,$5.45,8.59
2014-12-31,46.41,$5.01,9.26
2014-09-30,43.13,$5.26,8.2
2014-06-30,39.82,$5.30,7.51
2014-03-31,35.72,$4.70,7.61
2013-12-31,32.55,$3.88,8.39
2013-09-30,34.59,$2.37,14.58
2013-06-30,39.18,$-7.64,0.0
2013-03-31,42.41,$-8.17,0.0
2012-12-31,42.54,$-8.78,0.0
2012-09-30,43.29,$-8.69,0.0
2012-06-30,46.06,$0.40,116.47
2012-03-31,44.93,$0.86,52.2
2011-12-31,40.09,$2.06,19.46
2011-09-30,32.82,$1.09,30.24
2011-06-30,36.32,$-5.95,0.0
2011-03-31,33.81,$-6.54,0.0
2010-12-31,29.61,$-11.16,0.0
2010-09-30,35.1,$-10.86,0.0
2010-06-30,32.54,$-3.19,0.0
2010-03-31,30.34,$-2.60,0.0
2009-12-31,27.91,$1.89,14.74
