Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,68.17,,36.96
2024-03-31,65.32,$1.84,35.41
2023-12-31,57.31,$2.62,21.86
2023-09-30,52.53,$2.49,21.07
2023-06-30,66.82,$2.30,29.11
2023-03-31,58.72,$1.70,34.64
2022-12-31,62.02,$1.18,52.35
2022-09-30,47.44,$2.18,21.76
2022-06-30,45.83,$1.08,42.35
2022-03-31,62.3,$1.68,37.19
2021-12-31,76.84,$2.69,28.61
2021-09-30,64.06,$2.94,21.76
2021-06-30,64.34,$3.66,17.6
2021-03-31,55.71,$3.70,15.04
2020-12-31,43.3,$3.00,14.42
2020-09-30,37.75,$2.87,13.15
2020-06-30,31.35,$2.66,11.77
2020-03-31,24.57,$2.12,11.6
2019-12-31,36.81,$2.10,17.52
2019-09-30,39.43,$1.35,29.12
2019-06-30,36.9,$1.11,33.38
2019-03-31,32.78,$0.94,34.78
2018-12-31,26.12,$1.00,26.03
2018-09-30,30.59,$0.99,30.87
2018-06-30,29.03,$2.29,12.7
2018-03-31,30.35,$1.75,17.32
2017-12-31,32.59,$1.74,18.77
2017-09-30,34.22,$-0.38,0.0
2017-06-30,36.59,$-1.23,0.0
2017-03-31,35.34,$-1.37,0.0
2016-12-31,34.35,$-0.91,0.0
2016-09-30,34.46,$1.03,33.54
2016-06-30,32.72,$-0.19,0.0
2016-03-31,28.04,$0.53,52.87
2015-12-31,24.19,$0.24,98.81
2015-09-30,25.24,$0.76,33.25
2015-06-30,28.86,$1.75,16.45
2015-03-31,32.14,$1.54,20.92
2014-12-31,32.6,$1.82,17.88
2014-09-30,32.98,$1.89,17.46
2014-06-30,33.61,$1.62,20.7
2014-03-31,31.12,$1.84,16.91
2013-12-31,30.0,$1.71,17.52
2013-09-30,25.31,$1.30,19.47
2013-06-30,23.6,$2.39,9.88
2013-03-31,22.8,$3.42,6.67
2012-12-31,20.74,$4.38,4.74
2012-09-30,19.78,$5.20,3.8
2012-06-30,18.49,$5.65,3.27
2012-03-31,19.56,$5.33,3.67
2011-12-31,16.18,$5.01,3.23
2011-09-30,14.04,$4.59,3.06
2011-06-30,16.94,$4.71,3.59
2011-03-31,15.26,$4.55,3.36
2010-12-31,14.06,$4.49,3.13
2010-09-30,12.39,$4.87,2.54
2010-06-30,11.82,$4.27,2.77
2010-03-31,12.76,$4.38,2.91
2009-12-31,11.84,$4.34,2.73
