Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,116.29,,0.0
2024-03-31,118.03,$-8.56,0.0
2023-12-31,114.26,$5.28,21.65
2023-09-30,103.69,$4.50,23.02
2023-06-30,113.16,$2.85,39.69
2023-03-31,108.6,$3.64,29.81
2022-12-31,107.63,$-10.24,0.0
2022-09-30,97.21,$-10.62,0.0
2022-06-30,106.38,$-10.06,0.0
2022-03-31,112.71,$-10.12,0.0
2021-12-31,98.2,$-25.82,0.0
2021-09-30,82.07,$-23.52,0.0
2021-06-30,88.87,$-22.30,0.0
2021-03-31,90.82,$-21.78,0.0
2020-12-31,87.1,$-6.73,0.0
2020-09-30,86.69,$-7.31,0.0
2020-06-30,89.79,$-7.02,0.0
2020-03-31,88.96,$-7.26,0.0
2019-12-31,99.8,$-6.90,0.0
2019-09-30,101.07,$-6.17,0.0
2019-06-30,93.22,$-5.91,0.0
2019-03-31,90.44,$-5.47,0.0
2018-12-31,81.04,$-3.37,0.0
2018-09-30,81.64,$-3.09,0.0
2018-06-30,77.95,$-2.39,0.0
2018-03-31,72.44,$-1.93,0.0
2017-12-31,73.42,$-2.76,0.0
2017-09-30,71.28,$-2.54,0.0
2017-06-30,70.16,$-1.91,0.0
2017-03-31,66.44,$-2.08,0.0
2016-12-31,62.01,$-3.06,0.0
2016-09-30,61.89,$-3.31,0.0
2016-06-30,67.21,$-2.51,0.0
2016-03-31,61.02,$1.50,40.79
2015-09-30,47.21,$-1.48,0.0
2015-06-30,41.32,$1.70,24.35
2015-03-31,44.24,$0.04,1218.72
2014-12-31,44.27,$-3.85,0.0
2014-09-30,37.6,$1.42,26.46
2015-12-31,51.5,$-1.38,0.0
2014-06-30,41.79,$0.70,59.41
2014-03-31,36.61,$0.65,56.18
2013-12-31,35.0,$-0.70,0.0
2013-09-30,32.55,$-0.86,0.0
2013-06-30,31.12,$-2.63,0.0
2013-03-31,32.1,$-2.29,0.0
2012-12-31,26.17,$-1.48,0.0
2012-09-30,26.4,$-1.60,0.0
2012-06-30,25.61,$-1.64,0.0
2012-03-31,22.73,$-2.01,0.0
2011-12-31,23.83,$-1.46,0.0
2011-09-30,22.95,$-0.44,0.0
2011-06-30,23.27,$0.92,25.37
2011-03-31,23.62,$1.41,16.79
2010-12-31,21.39,$1.35,15.81
2010-09-30,19.83,$1.99,9.97
2010-06-30,18.12,$1.72,10.55
2010-03-31,18.9,$2.86,6.61
2009-12-31,19.21,$4.25,4.52
