Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,172.67,,7.04
2024-03-31,200.54,$24.54,8.17
2023-12-31,146.92,$29.98,4.9
2023-09-30,149.05,$35.68,4.18
2023-06-30,114.23,$28.26,4.04
2023-03-31,131.17,$31.69,4.14
2022-12-31,112.57,$27.19,4.14
2022-09-30,95.47,$26.07,3.66
2022-06-30,78.55,$18.72,4.2
2022-03-31,81.21,$8.00,10.15
2021-12-31,60.33,$4.78,12.62
2021-09-30,57.76,$1.15,50.42
2021-06-30,55.89,$4.54,12.31
2021-03-31,49.01,$2.59,18.92
2020-12-31,37.47,$-0.34,0.0
2020-09-30,26.21,$-0.20,0.0
2020-06-30,32.88,$1.38,23.82
2020-03-31,20.43,$3.86,5.29
2019-12-31,51.59,$7.05,7.32
2019-09-30,51.57,$8.67,5.95
2019-06-30,46.91,$6.78,6.92
2019-03-31,49.73,$8.15,6.1
2018-12-31,48.63,$5.71,8.52
2018-09-30,65.42,$6.28,10.42
2018-06-30,57.05,$8.03,7.1
2018-03-31,59.1,$4.95,11.95
2017-12-31,52.97,$7.73,6.85
2017-09-30,44.73,$4.48,9.99
2017-06-30,41.42,$1.39,29.88
2017-03-31,39.74,$3.89,10.21
2016-12-31,39.31,$2.31,16.99
2016-09-30,31.43,$1.95,16.14
2016-06-30,29.14,$3.58,8.14
2016-03-31,28.29,$1.75,16.15
2015-12-31,39.05,$3.87,10.1
2015-09-30,34.69,$3.44,10.08
2015-06-30,38.94,$3.63,10.73
2015-03-31,37.93,$3.52,10.79
2014-12-31,33.28,$2.89,11.53
2014-09-30,31.05,$4.50,6.9
2014-06-30,28.47,$3.49,8.16
2014-03-31,31.59,$1.51,20.93
2013-12-31,33.14,$3.49,9.48
2013-09-30,23.11,$4.52,5.11
2013-06-30,25.22,$6.56,3.85
2013-03-31,31.66,$7.42,4.27
2012-12-31,22.17,$4.64,4.77
2012-09-30,19.09,$2.68,7.13
2012-06-30,15.6,$2.36,6.6
2012-03-31,14.95,$3.23,4.62
