DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,79.83,,12.19
2024-03-31,76.67,$6.55,11.7
2023-12-31,76.51,$6.24,12.26
2023-09-30,73.81,$23.65,3.12
2023-06-30,70.37,$23.21,3.03
2023-03-31,70.32,$23.53,2.99
2022-12-31,66.92,$23.10,2.9
2022-09-30,48.91,$2.89,16.91
2022-06-30,53.64,$3.35,16.01
2022-03-31,70.67,$3.17,22.32
2021-12-31,77.26,$3.41,22.67
2021-09-30,64.78,$3.80,17.06
2021-06-30,73.46,$4.60,15.97
2021-03-31,73.08,$4.64,15.75
2020-12-31,66.96,$5.35,12.52
2020-09-30,52.0,$4.27,12.19
2020-06-30,49.52,$2.99,16.59
2020-03-31,31.6,$1.23,25.77
2019-12-31,59.09,$-1.02,0.0
2019-09-30,65.34,$3.68,17.77
2019-06-30,68.5,$0.99,69.54
2019-03-31,69.16,$3.66,18.87
2018-12-31,68.9,$1.28,53.93
2018-09-30,82.85,$2.32,35.69
2018-06-30,84.47,$-5.21,0.0
