Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,89.88,,10.33
2024-03-31,101.97,$8.70,11.72
2023-12-31,90.66,$7.14,12.69
2023-09-30,91.69,$4.76,19.28
2023-06-30,104.51,$2.54,41.21
2023-03-31,110.49,$-1.00,0.0
2022-12-31,81.42,$-3.26,0.0
2022-09-30,62.23,$-4.53,0.0
2022-06-30,56.26,$-4.56,0.0
2022-03-31,78.73,$-3.68,0.0
2021-12-31,83.96,$-4.47,0.0
2021-09-30,83.67,$-6.57,0.0
2021-06-30,120.75,$-8.03,0.0
2021-03-31,123.78,$-12.29,0.0
2020-12-31,111.4,$-12.58,0.0
2020-09-30,70.9,$-10.31,0.0
2020-06-30,73.54,$-7.79,0.0
2020-03-31,59.43,$-4.02,0.0
2019-12-31,135.91,$-1.51,0.0
2019-09-30,105.52,$0.82,127.94
2019-06-30,119.17,$1.78,66.79
2019-03-31,113.74,$0.81,140.53
2018-12-31,93.72,$-4.30,0.0
2018-09-30,119.5,$-2.98,0.0
2018-06-30,156.54,$-2.10,0.0
2018-03-31,169.93,$1.00,170.11
2017-12-31,156.62,$9.37,16.71
2017-09-30,137.89,$6.49,21.24
2017-06-30,123.71,$3.47,35.66
2017-03-31,105.29,$1.90,55.3
2016-12-31,79.07,$-2.47,0.0
2016-09-30,88.54,$-5.33,0.0
2016-06-30,81.97,$-7.35,0.0
2016-03-31,84.02,$-9.53,0.0
2015-12-31,61.82,$-13.26,0.0
2015-09-30,47.12,$-14.14,0.0
2015-06-30,87.1,$-10.12,0.0
2015-03-31,110.63,$-6.50,0.0
2014-12-31,129.46,$-0.89,0.0
2014-09-30,160.54,$4.88,32.93
2014-06-30,177.01,$6.13,28.9
2014-03-31,188.31,$8.40,22.43
2013-12-31,163.71,$11.63,14.07
2013-09-30,130.01,$10.35,12.57
2013-06-30,104.55,$10.77,9.71
2013-03-31,101.52,$9.98,10.17
2012-12-31,90.5,$9.07,9.98
2012-09-30,86.66,$10.29,8.42
2012-06-30,77.45,$9.80,7.9
2012-03-31,92.8,$10.94,8.48
2011-12-31,81.74,$10.60,7.71
2011-09-30,81.19,$11.17,7.27
2011-06-30,100.96,$10.55,9.57
2011-03-31,89.14,$8.14,10.95
2010-12-31,72.79,$6.24,11.66
2010-09-30,56.44,$3.83,14.73
2010-06-30,49.48,$3.45,14.36
2010-03-31,49.04,$1.97,24.94
2009-12-31,37.66,$0.45,83.61
