Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,338.14,,33.47
2024-03-31,300.2,$10.10,29.71
2023-12-31,243.9,$9.09,26.82
2023-09-30,202.91,$8.26,24.57
2023-06-30,191.26,$6.55,29.19
2023-03-31,183.98,$6.01,30.59
2022-12-31,168.09,$5.20,32.31
2022-09-30,144.27,$3.71,38.91
2022-06-30,128.83,$3.31,38.9
2022-03-31,151.48,$3.70,40.96
2021-12-31,200.42,$5.70,35.18
2021-09-30,170.74,$6.65,25.66
2021-06-30,182.11,$8.82,20.65
2021-03-31,163.73,$7.69,21.3
2020-12-31,143.56,$5.30,27.08
