Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,301.26,,31.39
2024-03-31,346.54,$9.60,36.11
2023-12-31,310.5,$10.47,29.67
2023-09-30,253.34,$9.61,26.36
2023-06-30,263.14,$6.97,37.73
2023-03-31,222.18,$4.79,46.36
2022-12-31,233.96,$5.00,46.81
2022-09-30,201.33,$3.70,54.39
2022-06-30,219.64,$4.70,46.77
2022-03-31,244.3,$6.31,38.69
2021-12-31,343.88,$7.07,48.66
2021-09-30,272.7,$9.58,28.48
2021-06-30,265.12,$11.98,22.13
2021-03-31,238.92,$12.14,19.67
2020-12-31,237.34,$11.48,20.68
2020-09-30,224.59,$10.71,20.97
2020-06-30,185.89,$8.35,22.27
2020-03-31,147.48,$7.26,20.32
2019-12-31,186.8,$7.13,26.19
2019-09-30,175.69,$6.65,26.43
2019-06-30,146.43,$6.60,22.18
2019-03-31,137.26,$5.75,23.86
2018-12-31,125.07,$6.07,20.59
2018-09-30,144.4,$6.52,22.14
2018-06-30,129.04,$5.83,22.13
2018-03-31,123.86,$5.23,23.7
2017-12-31,129.25,$6.00,21.54
2017-09-30,112.61,$5.14,21.9
2017-06-30,110.1,$4.40,25.01
2017-03-31,97.06,$5.10,19.02
2016-12-31,83.86,$3.91,21.45
2016-09-30,86.06,$4.46,19.3
2016-06-30,91.08,$4.77,19.1
2016-03-31,88.04,$4.24,20.78
2015-12-31,80.03,$4.32,18.54
2015-09-30,68.5,$3.07,22.29
2015-06-30,84.36,$3.03,27.82
2015-03-31,87.07,$3.03,28.72
2014-12-31,80.31,$2.98,26.96
2014-09-30,66.71,$3.36,19.83
2014-06-30,62.87,$3.13,20.1
2014-03-31,59.73,$2.99,19.96
2013-12-31,55.45,$2.98,18.63
2013-09-30,54.9,$3.03,18.12
2013-06-30,53.06,$2.67,19.88
2013-03-31,50.61,$2.57,19.66
2012-12-31,45.95,$2.37,19.35
2012-09-30,44.37,$2.25,19.72
2012-06-30,39.32,$2.19,17.99
2012-03-31,32.18,$1.83,17.59
2011-12-31,26.33,$1.88,14.03
2011-09-30,21.83,$1.71,12.73
2011-06-30,24.51,$1.37,17.85
2011-03-31,24.44,$1.70,14.42
2010-12-31,24.27,$1.81,13.43
2010-09-30,21.67,$1.89,11.45
2010-06-30,19.85,$2.18,9.11
2010-03-31,19.33,$2.20,8.77
2009-12-31,17.51,$2.25,7.77
