Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,150.21,,8.35
2024-03-31,170.69,$17.98,9.49
2023-12-31,129.01,$20.88,6.18
2023-09-30,139.46,$27.51,5.07
2023-06-30,114.51,$23.18,4.94
2023-03-31,135.06,$32.36,4.17
2022-12-31,121.85,$24.99,4.88
2022-09-30,101.89,$22.02,4.63
2022-06-30,100.43,$19.24,5.22
2022-03-31,95.18,$13.13,7.25
2021-12-31,69.62,$10.09,6.9
2021-09-30,64.55,$7.05,9.16
2021-06-30,70.34,$3.25,21.64
2020-12-31,49.61,$-3.59,0.0
2020-09-30,37.32,$8.45,4.42
2020-06-30,49.76,$7.01,7.1
2020-03-31,37.75,$10.91,3.46
2019-12-31,77.04,$13.40,5.75
2021-03-31,63.74,$4.88,13.05
2019-09-30,69.48,$8.60,8.08
2019-06-30,68.96,$5.20,13.27
2019-03-31,67.6,$7.68,8.8
2018-12-31,59.1,$6.12,9.66
2018-09-30,88.79,$4.84,18.35
2018-06-30,85.91,$6.31,13.62
2018-03-31,71.41,$5.93,12.04
2017-12-31,70.12,$8.07,8.69
2017-09-30,58.2,$7.90,7.36
2017-06-30,50.51,$7.60,6.65
2017-03-31,49.11,$8.52,5.77
2016-12-31,50.09,$7.63,6.56
2016-09-30,38.5,$6.34,6.07
2016-06-30,36.62,$7.21,5.08
2016-03-31,45.56,$6.78,6.72
2015-12-31,49.7,$7.99,6.22
2015-09-30,41.95,$8.53,4.92
2015-06-30,43.43,$8.92,4.87
2015-03-31,43.84,$6.10,7.19
2014-12-31,33.86,$3.94,8.59
2014-09-30,31.48,$7.19,4.38
2014-06-30,33.91,$4.15,8.17
2014-03-31,35.77,$4.27,8.39
2013-12-31,33.78,$6.28,5.38
2013-09-30,22.77,$1.61,14.18
2013-06-30,23.04,$4.58,5.03
2013-03-31,27.51,$4.47,6.15
2012-12-31,20.55,$4.21,4.88
2012-09-30,18.97,$3.20,5.92
2012-06-30,14.37,$2.05,7.02
2012-03-31,15.23,$1.62,9.43
2011-12-31,12.36,$2.96,4.18
2011-09-30,10.38,$4.68,2.22
2011-06-30,14.89,$4.04,3.69
2011-03-31,17.33,$4.07,4.25
2010-12-31,13.42,$2.32,5.8
2010-09-30,10.14,$1.35,7.5
2010-06-30,10.38,$0.74,14.07
2010-03-31,11.34,$0.09,131.56
2009-12-31,9.61,$-0.89,0.0
