Nordson Price to Free Cash Flow Ratio Historical Data,Nordson Price to Free Cash Flow Ratio Historical Data,Nordson Price to Free Cash Flow Ratio Historical Data,Nordson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,231.32,,21.95
2024-04-30,257.54,$10.54,24.44
2024-01-31,250.44,$11.42,21.93
2023-10-31,210.95,$10.53,20.03
2023-07-31,248.93,$10.63,23.41
2023-04-30,213.36,$9.41,22.68
2023-01-31,239.35,$8.11,29.51
2022-10-31,220.74,$7.93,27.83
2022-07-31,225.98,$7.92,28.54
2022-04-30,210.49,$7.99,26.34
2022-01-31,226.43,$8.14,27.83
2021-10-31,247.02,$8.65,28.57
2021-07-31,219.25,$11.91,18.41
2021-04-30,204.59,$11.65,17.56
2021-01-31,172.85,$12.25,14.11
2020-10-31,186.42,$10.89,17.12
2020-01-31,161.68,$6.51,24.83
2019-10-31,149.79,$5.50,27.25
2019-07-31,134.93,$5.30,25.48
2019-04-30,138.64,$6.35,21.83
2019-01-31,122.84,$6.21,19.78
2018-10-31,115.88,$7.05,16.44
2018-07-31,126.36,$6.99,18.08
2018-04-30,120.88,$5.94,20.35
2018-01-31,134.8,$3.24,41.61
2017-10-31,118.58,$0.19,633.77
2017-07-31,118.58,$0.42,283.48
2017-04-30,116.64,$0.29,399.45
2020-04-30,154.42,$2.65,58.31
2016-10-31,92.85,$4.78,19.42
2016-07-31,81.63,$4.60,17.74
2016-04-30,70.75,$5.06,13.98
2016-01-31,55.51,$4.55,12.19
2015-10-31,65.19,$5.07,12.85
2017-01-31,105.53,$3.23,32.66
2015-07-31,67.56,$3.33,20.26
2015-04-30,72.42,$3.81,19.03
2015-01-31,66.06,$3.35,19.74
2014-10-31,69.2,$3.81,18.16
2014-07-31,67.77,$3.36,20.16
2014-04-30,66.87,$3.58,18.68
2014-01-31,62.19,$3.58,17.35
2013-10-31,64.51,$3.47,18.61
2013-07-31,64.41,$3.93,16.39
2013-04-30,61.9,$3.74,16.53
2013-01-31,60.09,$3.79,15.87
2012-10-31,52.33,$3.83,13.65
2012-07-31,45.33,$3.33,13.62
2012-04-30,47.55,$3.15,15.11
2012-01-31,39.91,$3.12,12.77
2011-10-31,40.69,$3.31,12.28
2011-07-31,44.64,$3.40,13.12
2011-04-30,49.74,$3.10,16.04
2011-01-31,40.22,$0.12,329.65
2010-10-31,33.91,$0.09,388.91
2010-07-31,27.32,$-0.29,0.0
2010-04-30,31.03,$-0.25,0.0
2009-10-31,22.66,$2.45,9.23
2009-07-31,19.21,$2.46,7.82
2009-04-30,15.45,$6.53,2.36
