Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,110.76,,11.96
2023-12-31,98.26,$9.26,10.61
2023-09-30,114.51,$19.78,5.79
2023-06-30,103.58,$19.34,5.36
2023-03-31,105.0,$23.39,4.49
2022-12-31,104.8,$24.57,4.26
2024-03-31,115.31,$14.63,7.88
2022-09-30,82.3,$15.85,5.19
2022-06-30,79.97,$12.50,6.4
2022-03-31,76.34,$10.19,7.49
2021-12-31,55.94,$9.18,6.1
2021-09-30,53.04,$5.71,9.3
2021-06-30,56.04,$3.93,14.26
2021-03-31,48.89,$1.15,42.45
2020-12-31,35.48,$-0.38,0.0
2020-09-30,28.87,$-0.78,0.0
2020-06-30,36.88,$-0.39,0.0
2020-03-31,30.71,$0.60,51.53
2019-12-31,55.63,$1.25,44.36
2019-09-30,55.61,$1.93,28.88
2019-06-30,59.6,$2.65,22.46
2019-03-31,62.14,$3.37,18.42
2018-12-31,51.87,$3.85,13.47
2018-09-30,64.02,$3.95,16.19
2018-06-30,61.66,$3.19,19.35
2018-03-31,55.05,$3.41,16.17
2017-12-31,61.09,$3.45,17.73
2017-09-30,59.33,$3.59,16.52
2017-06-30,57.86,$3.45,16.79
2017-03-31,58.23,$2.62,22.25
2016-12-31,63.5,$1.42,44.82
2016-09-30,60.87,$0.16,389.21
2016-06-30,64.82,$0.35,183.67
2016-03-31,57.31,$0.70,82.47
2015-12-31,52.96,$0.92,57.66
2015-09-30,50.07,$0.98,50.85
2015-06-30,55.51,$1.32,42.04
2015-03-31,56.24,$1.32,42.66
2014-12-31,60.71,$2.84,21.37
2014-09-30,61.32,$3.59,17.1
2014-06-30,65.19,$3.58,18.19
2014-03-31,62.82,$2.98,21.07
2013-12-31,64.63,$2.54,25.4
2013-09-30,54.57,$2.81,19.42
2013-06-30,56.91,$3.03,18.79
2013-03-31,56.37,$3.66,15.38
2012-12-31,53.8,$4.73,11.37
2012-09-30,56.48,$4.48,12.61
2012-06-30,52.51,$4.83,10.87
2012-03-31,52.86,$5.45,9.69
2011-12-31,51.37,$5.00,10.28
2011-09-30,43.76,$5.82,7.52
2011-06-30,48.7,$5.13,9.5
2011-03-31,50.05,$4.83,10.36
2010-12-31,43.27,$4.40,9.84
2010-09-30,36.34,$3.53,10.31
2010-06-30,33.32,$3.35,9.95
2010-03-31,38.84,$1.91,20.32
2009-12-31,39.29,$1.23,32.03
