News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,28.21,,30.04
2024-03-31,27.06,$0.94,28.81
2023-12-31,25.63,$0.34,74.3
2023-06-30,19.56,$1.14,17.18
2023-03-31,17.29,$2.40,7.2
2022-12-31,18.17,$1.37,13.31
2022-09-30,15.2,$2.06,7.39
2022-06-30,15.57,$2.71,5.74
2023-09-30,20.79,$0.89,23.3
2022-03-31,22.07,$1.27,17.32
2021-12-31,21.94,$1.31,16.76
2021-09-30,22.66,$1.30,17.42
2021-06-30,23.64,$1.47,16.1
2021-03-31,22.77,$1.82,12.51
2020-12-31,17.18,$1.23,13.96
2020-09-30,13.52,$0.90,15.03
2020-06-30,11.48,$0.64,17.85
2020-03-31,8.64,$0.50,17.19
2019-12-31,13.81,$0.51,27.26
2019-09-30,13.61,$0.67,20.41
2019-06-30,13.2,$0.78,16.91
2019-03-31,11.81,$0.72,16.39
2018-12-31,10.92,$0.97,11.26
2018-09-30,12.86,$0.99,12.99
2018-06-30,14.87,$0.91,16.32
2018-03-31,15.11,$1.08,14.01
2017-12-31,15.49,$1.11,13.9
2017-09-30,12.73,$1.27,10.01
2017-06-30,13.1,$0.88,14.97
2017-03-31,12.5,$1.03,12.18
2016-12-31,10.84,$0.66,16.32
2016-09-30,13.06,$0.49,26.59
2016-06-30,10.65,$1.14,9.35
2016-03-31,12.09,$0.54,22.56
2015-12-31,12.63,$0.73,17.32
2015-09-30,11.59,$0.93,12.42
2015-06-30,12.79,$1.21,10.57
2015-03-31,14.25,$1.63,8.76
2014-12-31,13.54,$1.76,7.71
2014-09-30,14.48,$1.77,8.19
2014-06-30,15.67,$1.51,10.4
2014-03-31,14.99,$2.87,5.23
