Old Dominion Freight Line Price to Free Cash Flow Ratio Historical Data,Old Dominion Freight Line Price to Free Cash Flow Ratio Historical Data,Old Dominion Freight Line Price to Free Cash Flow Ratio Historical Data,Old Dominion Freight Line Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,174.89,,39.36
2024-03-31,218.99,$4.44,49.28
2023-12-31,202.12,$3.91,51.72
2023-09-30,203.81,$2.68,76.15
2023-06-30,184.02,$3.00,61.42
2023-03-31,169.41,$3.69,45.96
2022-12-31,140.88,$4.15,33.95
2022-09-30,123.37,$4.51,27.33
2022-06-30,126.96,$3.82,33.27
2022-03-31,147.79,$3.12,47.41
2021-12-31,177.16,$2.93,60.47
2021-09-30,141.29,$2.96,47.67
2021-06-30,125.3,$2.68,46.73
2021-03-31,118.61,$3.50,33.87
2020-12-31,96.2,$3.00,32.04
2020-09-30,89.11,$2.75,32.38
2020-06-30,83.47,$2.84,29.4
2020-03-31,64.55,$2.20,29.37
2019-12-31,62.14,$2.12,29.38
2019-09-30,55.6,$2.03,27.41
2019-06-30,48.78,$1.72,28.42
2019-03-31,47.13,$1.40,33.57
2018-12-31,40.26,$1.30,31.07
2018-09-30,52.52,$1.08,48.53
2018-06-30,48.47,$0.98,49.49
2018-03-31,47.79,$0.90,53.24
2017-12-31,42.73,$0.67,63.49
2017-09-30,35.74,$0.82,43.66
2017-06-30,30.88,$0.87,35.57
2017-03-31,27.72,$0.67,41.65
2016-12-31,27.76,$0.63,43.77
2016-09-30,22.2,$0.59,37.38
2016-06-30,19.51,$0.32,60.39
2016-03-31,22.53,$0.25,89.74
2015-12-31,19.11,$0.45,42.11
2015-09-30,19.74,$0.35,56.49
2015-06-30,22.2,$0.38,58.54
2015-03-31,25.01,$0.49,51.07
2014-12-31,25.12,$0.18,141.6
2014-09-30,22.86,$0.07,323.73
2014-06-30,20.6,$0.16,128.29
2014-03-31,18.36,$0.20,93.62
2013-12-31,17.15,$0.26,66.88
2013-09-30,14.88,$0.32,46.95
2013-06-30,13.47,$0.14,98.01
2013-03-31,12.36,$0.06,216.83
2012-12-31,11.09,$-0.13,0.0
2012-09-30,9.75,$-0.17,0.0
2012-06-30,9.34,$-0.04,0.0
2012-03-31,10.28,$0.02,491.98
2011-12-31,8.74,$0.13,68.95
2011-09-30,6.25,$-0.04,0.0
2011-06-30,8.05,$-0.02,0.0
2011-03-31,7.57,$0.18,42.05
2010-12-31,6.9,$0.15,47.23
2010-09-30,5.48,$0.20,26.96
2010-06-30,5.05,$0.08,61.25
2010-03-31,4.8,$-0.10,0.0
2009-12-31,4.41,$-0.31,0.0
