Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,73.35,,18.56
2024-03-31,80.65,$3.95,20.41
2023-12-31,72.18,$4.76,15.15
2023-09-30,64.68,$3.98,16.25
2023-06-30,72.17,$4.15,17.38
2023-03-31,74.65,$3.37,22.12
2022-12-31,73.42,$2.34,31.38
2022-09-30,67.46,$2.27,29.76
2022-06-30,80.82,$2.30,35.13
2022-03-31,77.45,$1.33,58.3
2021-12-31,73.65,$1.76,41.86
2021-09-30,73.6,$1.16,63.27
2021-06-30,72.02,$1.95,36.86
2021-03-31,72.94,$1.70,42.79
2020-12-31,67.99,$1.54,44.27
2020-06-30,49.28,$1.80,27.32
2020-03-31,40.69,$2.59,15.73
2019-12-31,75.88,$4.04,18.76
2019-09-30,70.08,$3.91,17.92
2019-06-30,62.09,$4.92,12.61
2020-09-30,56.56,$3.61,15.67
2019-03-31,58.27,$3.29,17.72
2018-12-31,54.35,$2.86,18.97
2018-09-30,63.21,$3.24,19.54
2018-06-30,58.63,$2.82,20.82
2018-03-31,51.17,$3.05,16.79
2017-12-31,51.53,$3.49,14.78
2017-09-30,45.5,$2.56,17.79
2017-06-30,42.16,$2.86,14.73
2017-03-31,43.22,$2.71,15.93
2016-12-31,45.81,$2.83,16.19
2016-09-30,40.29,$3.41,11.81
2016-06-30,41.71,$2.57,16.22
2016-03-31,38.18,$2.13,17.94
2015-12-31,33.02,$1.88,17.56
2015-09-30,31.39,$1.20,26.24
2015-06-30,28.85,$1.74,16.6
2015-03-31,29.91,$1.60,18.71
2014-12-31,31.21,$1.59,19.63
2014-09-30,29.39,$1.52,19.35
2014-06-30,28.78,$1.69,17.07
2014-03-31,27.54,$1.86,14.8
2013-12-31,27.52,$1.85,14.84
2013-09-30,23.86,$1.69,14.14
2013-06-30,25.4,$1.71,14.83
2013-03-31,25.94,$1.26,20.59
2012-12-31,23.15,$1.10,21.08
2012-09-30,22.67,$1.11,20.35
2012-06-30,21.41,$1.07,20.09
2012-03-31,21.26,$0.90,23.72
2011-12-31,20.69,$1.05,19.79
2011-09-30,18.08,$0.71,25.3
2011-06-30,21.77,$0.81,27.03
2011-03-31,19.18,$0.84,22.76
2010-12-31,19.99,$0.64,31.31
2010-09-30,19.39,$0.78,24.82
2010-06-30,19.26,$0.53,36.58
2010-03-31,19.72,$0.84,23.46
2009-12-31,18.52,$1.74,10.63
