Cigna Group Price to Free Cash Flow Ratio Historical Data,Cigna Group Price to Free Cash Flow Ratio Historical Data,Cigna Group Price to Free Cash Flow Ratio Historical Data,Cigna Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,339.98,,9.74
2024-03-31,363.19,$34.89,10.41
2023-12-31,298.2,$34.49,8.65
2023-09-30,283.52,$36.03,7.87
2023-06-30,276.88,$37.77,7.33
2023-03-31,250.97,$33.54,7.48
2022-12-31,324.01,$23.51,13.78
2022-09-30,270.4,$29.82,9.07
2022-06-30,255.8,$25.21,10.15
2022-03-31,231.61,$20.71,11.18
2021-12-31,220.88,$17.71,12.48
2021-09-30,191.61,$16.86,11.36
2021-06-30,225.89,$13.48,16.76
2021-03-31,229.42,$23.22,9.88
2020-12-31,196.74,$25.13,7.83
2020-09-30,160.1,$20.86,7.68
2020-06-30,177.33,$24.84,7.14
2020-03-31,167.44,$18.73,8.94
2019-12-31,193.21,$22.21,8.7
2019-09-30,143.41,$15.29,9.38
2019-06-30,148.86,$11.42,13.03
2019-03-31,151.95,$12.94,11.74
2018-12-31,179.4,$12.96,13.85
2018-09-30,196.71,$15.06,13.06
2018-06-30,160.53,$17.52,9.16
2018-03-31,158.45,$16.26,9.74
2017-12-31,191.79,$14.17,13.53
2017-09-30,176.54,$15.40,11.46
2017-06-30,158.08,$17.89,8.83
2017-03-31,138.34,$16.34,8.47
2016-12-31,125.94,$13.73,9.17
2016-09-30,123.04,$14.62,8.42
2016-06-30,120.84,$9.60,12.59
2016-03-31,129.57,$10.04,12.91
2015-12-31,138.11,$9.30,14.85
2015-09-30,127.44,$7.58,16.81
2015-06-30,152.9,$7.04,21.73
2015-03-31,122.17,$7.22,16.92
2014-12-31,97.1,$6.27,15.48
2014-09-30,85.57,$5.98,14.32
2014-06-30,86.78,$6.76,12.84
2014-03-31,79.0,$5.18,15.25
2013-12-31,82.5,$0.67,122.33
2013-09-30,72.48,$1.39,52.21
2013-06-30,68.36,$-2.28,0.0
2013-03-31,58.82,$0.66,89.36
2012-12-31,50.38,$6.71,7.51
2012-09-30,44.45,$4.64,9.59
2012-06-30,41.47,$8.20,5.05
2012-03-31,46.41,$6.95,6.67
2011-12-31,39.55,$3.90,10.15
2011-09-30,39.49,$4.80,8.22
2011-06-30,48.43,$4.33,11.19
2011-03-31,41.69,$3.93,10.6
2010-12-31,34.49,$5.24,6.58
2010-09-30,33.66,$5.34,6.3
2010-06-30,29.22,$4.03,7.25
2010-03-31,34.41,$2.78,12.39
2009-12-31,33.14,$1.59,20.83
