Dow Price to Free Cash Flow Ratio Historical Data,Dow Price to Free Cash Flow Ratio Historical Data,Dow Price to Free Cash Flow Ratio Historical Data,Dow Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,53.99,,16.52
2024-03-31,57.93,$3.27,17.73
2023-12-31,54.84,$3.83,14.33
2023-09-30,51.56,$4.51,11.44
2023-06-30,53.26,$5.11,10.41
2023-03-31,54.82,$6.00,9.13
2022-12-31,50.39,$7.56,6.66
2022-09-30,43.93,$7.55,5.82
2022-06-30,50.92,$8.58,5.93
2022-03-31,62.23,$8.87,7.02
2021-12-31,54.75,$6.40,8.56
2021-09-30,54.89,$7.12,7.71
2021-06-30,59.69,$6.43,9.28
2021-03-31,59.7,$6.02,9.92
2020-12-31,51.24,$7.94,6.45
2020-09-30,42.9,$7.20,5.96
2020-06-30,36.6,$7.05,5.19
2020-03-31,25.79,$6.49,3.97
2019-12-31,47.44,$7.08,6.7
