Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,97.27,,26.64
2024-03-31,89.54,$3.65,24.52
2023-12-31,78.78,$3.67,21.49
2023-09-30,69.83,$3.08,22.69
2023-06-30,75.18,$2.88,26.13
2023-03-31,72.88,$2.65,27.53
2022-12-31,75.94,$2.27,33.4
2022-09-30,67.26,$2.81,23.96
2022-06-30,76.25,$2.82,27.04
2022-03-31,71.74,$2.99,24.01
2021-12-31,80.3,$3.25,24.7
2021-09-30,70.69,$3.12,22.65
2021-06-30,75.68,$3.11,24.33
2021-03-31,72.93,$3.63,20.1
2020-12-31,78.67,$3.85,20.43
2020-09-30,70.58,$3.91,18.06
2020-06-30,66.64,$3.87,17.2
2020-03-31,60.0,$3.43,17.49
2019-12-31,61.87,$3.25,19.04
2019-09-30,65.64,$3.10,21.17
2019-06-30,63.63,$3.04,20.9
2019-03-31,60.47,$3.05,19.8
2018-12-31,52.16,$3.00,17.38
2018-09-30,58.28,$2.86,20.39
2018-06-30,56.06,$2.90,19.36
2018-03-31,61.63,$2.79,22.07
2017-12-31,64.53,$2.87,22.51
2017-09-30,61.97,$2.85,21.71
2017-06-30,62.71,$2.92,21.47
2017-03-31,61.58,$2.99,20.61
2016-12-31,54.74,$2.90,18.86
2016-09-30,61.68,$2.88,21.41
2016-06-30,60.58,$2.65,22.88
2016-03-31,58.15,$2.39,24.36
2015-12-31,54.5,$2.49,21.87
2015-09-30,51.62,$2.54,20.36
2015-06-30,52.91,$2.65,19.98
2015-03-31,55.78,$2.73,20.41
2014-12-31,55.37,$2.78,19.95
2014-09-30,51.9,$2.69,19.27
2014-06-30,53.97,$2.72,19.81
2014-03-31,51.08,$2.69,18.98
2013-12-31,51.08,$2.71,18.83
2013-09-30,46.2,$2.96,15.62
2013-06-30,44.37,$2.92,15.19
2013-03-31,45.45,$2.92,15.59
2012-12-31,40.03,$2.82,14.22
2012-09-30,40.82,$2.59,15.78
2012-06-30,39.4,$2.77,14.24
2012-03-31,36.77,$2.68,13.72
2011-12-31,34.52,$2.66,12.96
2011-09-30,32.93,$2.77,11.91
2011-06-30,32.25,$2.52,12.8
2011-03-31,29.58,$2.62,11.28
2010-12-31,29.24,$2.65,11.05
2010-09-30,27.77,$2.55,10.89
2010-06-30,28.28,$2.70,10.46
2010-03-31,30.42,$2.63,11.55
2009-12-31,29.15,$2.59,11.25
