Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,168.26,,25.66
2024-03-31,161.22,$6.56,24.58
2023-12-31,144.69,$6.48,22.33
2023-09-30,143.11,$5.91,24.23
2023-06-30,147.95,$5.57,26.57
2023-03-31,144.08,$4.89,29.44
2022-12-31,145.93,$4.63,31.55
2022-09-30,120.69,$5.24,23.04
2022-06-30,136.57,$5.39,25.35
2022-03-31,144.32,$5.50,26.25
2021-12-31,153.68,$5.85,26.27
2021-09-30,130.52,$5.94,21.97
2021-06-30,125.18,$6.01,20.84
2021-03-31,124.84,$6.28,19.88
2020-12-31,127.49,$6.22,20.5
2020-09-30,126.65,$5.79,21.88
2020-06-30,108.27,$5.47,19.8
2020-03-31,98.95,$5.49,18.01
2019-12-31,111.69,$5.23,21.34
2019-09-30,110.52,$5.05,21.87
2019-06-30,96.8,$4.84,20.0
2019-03-31,91.22,$4.49,20.33
2018-12-31,79.95,$4.41,18.13
2018-09-30,71.75,$4.28,16.76
2018-06-30,66.69,$4.30,15.51
2018-03-31,67.09,$4.01,16.72
2017-12-31,77.16,$3.95,19.53
2017-09-30,75.83,$3.71,20.46
2017-06-30,72.08,$3.63,19.87
2017-03-31,73.74,$3.78,19.51
2016-12-31,68.47,$3.79,18.04
2016-09-30,72.52,$4.25,17.08
2016-06-30,67.88,$4.41,15.38
2016-03-31,65.45,$4.53,14.44
2015-12-31,62.6,$4.59,13.62
2015-09-30,56.2,$4.40,12.77
2015-06-30,60.63,$5.34,11.35
2015-03-31,62.98,$5.41,11.64
2014-12-31,69.52,$5.55,12.52
2014-09-30,63.43,$5.23,12.14
2014-06-30,59.06,$3.68,16.05
2014-03-31,60.08,$3.35,17.95
2013-12-31,60.23,$3.26,18.46
2013-09-30,55.5,$3.66,15.18
2013-06-30,56.11,$3.90,14.39
2013-03-31,55.72,$4.73,11.78
2012-12-31,48.7,$4.72,10.32
2012-09-30,49.35,$4.39,11.24
2012-06-30,43.21,$4.15,10.41
2012-03-31,47.02,$3.28,14.32
2011-12-31,46.3,$3.37,13.72
2011-09-30,43.5,$3.23,13.49
2011-06-30,43.41,$3.41,12.71
2011-03-31,41.72,$3.24,12.87
2010-12-31,43.25,$3.50,12.35
2010-09-30,40.02,$4.49,8.9
2010-06-30,39.71,$5.21,7.63
2010-03-31,41.57,$5.65,7.36
2009-12-31,39.55,$7.13,5.55
