Palo Alto Networks Price to Free Cash Flow Ratio Historical Data,Palo Alto Networks Price to Free Cash Flow Ratio Historical Data,Palo Alto Networks Price to Free Cash Flow Ratio Historical Data,Palo Alto Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,320.33,,37.34
2024-04-30,290.89,$8.58,33.91
2024-01-31,338.51,$8.09,41.82
2023-10-31,243.02,$8.41,28.91
2023-07-31,249.96,$7.69,32.52
2023-04-30,182.46,$8.20,22.26
2023-01-31,158.64,$8.40,18.88
2022-10-31,171.59,$7.71,22.26
2022-07-31,166.37,$6.06,27.44
2022-04-30,187.09,$5.46,34.27
2022-01-31,172.47,$5.13,33.6
2021-10-31,169.7,$4.93,34.45
2021-07-31,133.02,$4.80,27.73
2021-04-30,117.8,$4.78,24.65
2021-01-31,116.92,$4.26,27.45
2020-10-31,73.73,$3.97,18.55
2020-07-31,85.31,$2.83,30.19
2020-04-30,65.5,$2.42,27.1
2020-01-31,78.26,$3.07,25.47
2019-10-31,75.8,$3.10,24.45
2019-07-31,75.51,$3.26,23.16
2019-04-30,82.94,$3.56,23.32
2019-01-31,71.61,$3.35,21.4
2018-10-31,61.01,$3.25,18.75
2018-07-31,66.09,$3.37,19.63
2018-04-30,64.17,$3.15,20.35
2018-01-31,52.62,$2.99,17.62
2017-10-31,49.07,$2.80,17.5
2017-07-31,43.93,$2.60,16.93
2017-04-30,36.14,$2.55,14.16
2017-01-31,49.19,$2.52,19.51
2016-10-31,51.28,$2.42,21.17
2016-07-31,43.63,$2.24,19.45
2016-04-30,50.29,$2.00,25.15
2016-01-31,49.83,$1.74,28.58
2015-10-31,53.67,$1.51,35.5
2015-07-31,61.94,$1.30,47.54
2015-04-30,49.24,$0.74,66.17
2015-01-31,42.13,$0.56,75.21
2014-10-31,35.23,$0.42,84.61
2014-07-31,26.95,$0.23,114.89
2014-04-30,21.19,$0.55,38.71
2014-01-31,19.82,$0.46,42.68
2013-10-31,14.05,$0.46,30.57
2013-07-31,16.31,$0.45,36.5
2013-04-30,18.03,$1.08,16.75
