Occidental Petroleum Price to Free Cash Flow Ratio Historical Data,Occidental Petroleum Price to Free Cash Flow Ratio Historical Data,Occidental Petroleum Price to Free Cash Flow Ratio Historical Data,Occidental Petroleum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,60.92,,10.9
2024-03-31,64.75,$5.59,11.59
2023-12-31,59.28,$6.75,8.78
2023-09-30,64.21,$7.43,8.64
2023-06-30,58.03,$9.21,6.3
2023-03-31,61.43,$11.98,5.13
2022-12-31,61.79,$12.87,4.8
2022-09-30,60.16,$13.28,4.53
2022-06-30,57.53,$12.51,4.6
2022-03-31,55.33,$11.10,4.99
2021-12-31,28.2,$9.58,2.94
2021-09-30,28.77,$10.05,2.86
2021-06-30,30.4,$7.70,3.95
2021-03-31,25.87,$4.86,5.33
2020-12-31,16.82,$4.03,4.17
2020-09-30,9.72,$2.43,4.0
2020-06-30,17.75,$8.16,2.17
2020-03-31,11.23,$9.27,1.21
2019-12-31,37.58,$8.83,4.25
2019-09-30,39.71,$8.71,4.56
2019-06-30,44.13,$7.35,6.01
2019-03-31,57.17,$6.87,8.33
2018-12-31,52.35,$7.23,7.24
2018-09-30,69.27,$5.94,11.66
2018-06-30,69.84,$1.10,63.29
2018-03-31,53.73,$1.90,28.26
2017-12-31,60.19,$1.65,36.53
2017-09-30,51.89,$1.36,38.04
2017-06-30,47.77,$1.25,38.18
2017-03-31,49.92,$0.53,93.59
2016-12-31,55.44,$0.87,63.49
2016-09-30,56.14,$0.67,83.5
2016-06-30,57.6,$0.46,126.6
2016-03-31,51.65,$-1.01,0.0
2015-12-31,50.44,$-2.51,0.0
2015-09-30,48.81,$-2.51,0.0
2015-06-30,56.77,$-1.57,0.0
2015-03-31,52.78,$0.15,353.97
2014-12-31,57.72,$2.74,21.09
2014-09-30,65.64,$5.61,11.71
2014-06-30,69.55,$6.42,10.84
2014-03-31,64.12,$7.08,9.06
2013-12-31,63.51,$6.74,9.43
2013-09-30,62.04,$7.28,8.53
2013-06-30,58.76,$5.62,10.46
2013-03-31,51.26,$4.59,11.17
2012-12-31,49.72,$4.23,11.76
2012-09-30,55.45,$2.31,23.96
2012-06-30,54.91,$3.68,14.91
2012-03-31,60.58,$5.19,11.67
2011-12-31,59.28,$5.86,10.12
2011-09-30,45.02,$6.31,7.14
2011-06-30,65.16,$6.72,9.69
2011-03-31,65.15,$6.22,10.47
2010-12-31,60.89,$6.91,8.81
2010-09-30,48.4,$6.97,6.94
2010-06-30,47.45,$6.34,7.48
2010-03-31,51.75,$5.47,9.46
2009-12-31,49.6,$3.32,14.94
