Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,182.09,,28.13
2024-03-31,193.23,$6.47,29.85
2023-12-31,183.9,$7.55,24.35
2023-09-30,197.36,$7.88,25.03
2023-06-30,244.96,$8.03,30.52
2023-03-31,248.62,$3.93,63.27
2022-12-31,225.3,$3.66,61.53
2022-09-30,213.51,$2.01,106.0
2022-06-30,207.43,$1.85,111.91
2021-12-31,184.88,$7.64,24.2
2021-09-30,160.93,$8.61,18.68
2021-06-30,164.79,$9.81,16.8
2021-03-31,148.95,$10.17,14.64
2020-12-31,142.71,$9.15,15.6
2022-03-31,207.94,$6.33,32.86
2020-09-30,133.56,$7.12,18.76
2020-06-30,120.13,$6.52,18.41
2020-03-31,122.06,$6.43,18.98
2019-12-31,134.75,$6.86,19.64
2019-09-30,141.35,$6.53,21.65
2019-06-30,121.64,$6.35,19.15
2019-03-31,103.64,$6.01,17.24
2018-12-31,96.11,$6.26,15.35
2018-09-30,90.85,$5.75,15.81
2018-06-30,82.29,$5.80,14.19
2018-03-31,86.88,$5.11,16.99
2017-12-31,98.99,$4.68,21.17
2017-09-30,94.63,$4.39,21.56
2017-06-30,92.5,$3.40,27.17
2017-03-31,93.61,$3.36,27.9
2016-12-31,88.12,$3.47,25.38
2016-09-30,80.94,$3.78,21.41
2016-06-30,95.56,$3.80,25.16
2016-03-31,77.05,$4.26,18.1
2015-12-31,74.21,$4.08,18.18
2015-09-30,75.86,$3.05,24.91
2015-06-30,72.87,$3.54,20.61
2015-03-31,82.31,$2.45,33.63
2014-12-31,84.35,$2.11,39.91
2014-09-30,77.02,$2.65,29.03
2014-06-30,78.13,$2.96,26.37
2014-03-31,83.35,$3.44,24.24
2013-12-31,77.28,$3.77,20.52
2013-09-30,73.15,$3.67,19.92
2013-06-30,70.24,$3.76,18.68
2013-03-31,68.54,$3.65,18.77
2012-12-31,56.26,$3.58,15.72
2012-09-30,54.9,$2.80,19.62
2012-06-30,55.5,$1.31,42.38
2012-03-31,46.99,$1.51,31.06
2011-12-31,47.03,$1.05,44.94
2011-09-30,44.83,$1.86,24.14
2011-06-30,42.76,$2.68,15.93
2011-03-31,40.63,$2.75,14.76
2010-12-31,35.01,$3.05,11.48
2010-09-30,35.09,$2.90,12.12
2010-06-30,35.11,$3.25,10.8
2010-03-31,31.14,$3.65,8.54
2009-12-31,25.82,$4.06,6.35
