Welltower Price to Free Cash Flow Ratio Historical Data,Welltower Price to Free Cash Flow Ratio Historical Data,Welltower Price to Free Cash Flow Ratio Historical Data,Welltower Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,102.32,,0.0
2024-03-31,93.44,$-6.55,0.0
2023-12-31,90.17,$-6.54,0.0
2023-09-30,81.92,$-1.58,0.0
2023-06-30,80.89,$-2.19,0.0
2023-03-31,71.69,$-2.93,0.0
2022-12-31,65.55,$-4.05,0.0
2022-09-30,64.32,$-6.89,0.0
2022-06-30,81.72,$-8.64,0.0
2022-03-31,94.75,$-7.32,0.0
2021-12-31,83.91,$-5.71,0.0
2021-09-30,80.03,$-2.84,0.0
2021-06-30,80.13,$5.52,14.51
2021-03-31,68.51,$9.28,7.38
2020-12-31,61.26,$10.34,5.93
2020-09-30,51.75,$8.42,6.14
2020-06-30,48.09,$7.96,6.04
2020-03-31,41.97,$-0.86,0.0
2019-12-31,74.24,$-1.05,0.0
2019-09-30,81.43,$1.30,62.56
2019-06-30,72.51,$-8.77,0.0
2019-03-31,68.25,$-2.88,0.0
2018-12-31,60.34,$-2.30,0.0
2018-09-30,55.22,$-0.41,0.0
2018-06-30,53.09,$4.77,11.12
2018-03-31,45.38,$4.97,9.14
2017-12-31,52.33,$6.31,8.29
2017-09-30,56.95,$7.62,7.47
2017-06-30,59.93,$6.65,9.02
2017-03-31,56.0,$6.54,8.56
2016-12-31,52.23,$3.39,15.4
2016-09-30,57.59,$-1.75,0.0
2016-06-30,58.01,$-0.12,0.0
2016-03-31,52.2,$-0.70,0.0
2015-12-31,50.53,$-4.52,0.0
2015-09-30,49.63,$-4.89,0.0
2015-06-30,47.52,$-5.32,0.0
2015-03-31,55.38,$-5.54,0.0
2014-12-31,53.59,$-1.60,0.0
2014-09-30,43.68,$-0.62,0.0
2014-06-30,43.34,$-1.91,0.0
2014-03-31,40.72,$-3.37,0.0
2013-12-31,36.09,$-9.01,0.0
2013-09-30,41.51,$-11.08,0.0
2013-06-30,44.07,$-12.23,0.0
2013-03-31,44.19,$-11.90,0.0
2012-12-31,39.4,$-8.48,0.0
2012-09-30,36.66,$-8.29,0.0
2012-06-30,36.58,$-8.39,0.0
2012-03-31,34.03,$-12.88,0.0
2011-12-31,33.33,$-18.80,0.0
2011-09-30,28.2,$-17.91,0.0
2011-06-30,31.11,$-16.20,0.0
2010-12-31,27.49,$-10.74,0.0
2010-09-30,26.95,$0.42,64.01
2010-06-30,23.62,$-1.10,0.0
2010-03-31,24.95,$-0.13,0.0
2009-12-31,24.04,$0.32,74.66
2011-03-31,30.69,$-3.15,0.0
