Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,34.77,,7.3
2024-03-31,35.85,$4.76,7.52
2023-12-31,32.34,$5.85,5.53
2023-09-30,25.69,$7.86,3.27
2023-06-30,24.67,$11.60,2.13
2023-03-31,28.29,$7.08,4.0
2022-12-31,36.31,$8.36,4.34
2022-09-30,31.36,$7.54,4.16
2022-06-30,32.22,$4.60,7.01
2022-03-31,40.52,$10.21,3.97
2021-12-31,41.92,$5.03,8.33
2021-09-30,41.34,$4.34,9.52
2021-06-30,40.0,$3.08,12.99
2021-03-31,38.18,$-5.20,0.0
2020-12-31,30.61,$-2.08,0.0
2020-09-30,21.33,$-3.00,0.0
2020-06-30,20.95,$-4.48,0.0
2019-12-31,32.8,$3.55,9.24
2019-09-30,28.28,$8.39,3.37
2019-06-30,28.01,$4.43,6.32
2019-03-31,25.52,$3.73,6.84
2018-12-31,23.13,$4.02,5.75
2020-03-31,15.35,$-0.93,0.0
2018-09-30,29.78,$2.78,10.73
2018-06-30,29.83,$5.02,5.94
2018-03-31,32.02,$2.97,10.79
2017-12-31,31.87,$3.24,9.85
2017-09-30,28.62,$3.02,9.46
2017-06-30,26.82,$2.23,12.05
2017-03-31,25.88,$3.53,7.33
2016-12-31,26.58,$2.59,10.28
2016-09-30,18.35,$2.83,6.49
2016-06-30,14.76,$2.48,5.96
2016-03-31,15.4,$2.62,5.88
2015-12-31,19.15,$2.09,9.18
2015-09-30,17.38,$1.60,10.84
2015-06-30,19.81,$3.15,6.3
