Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,228.39,,15.67
2024-04-30,227.99,$14.57,15.65
2024-01-31,211.84,$10.67,19.86
2023-10-31,188.71,$9.27,20.37
2023-07-31,230.62,$11.34,20.33
2023-04-30,203.63,$9.70,21.0
2023-01-31,203.01,$10.78,18.82
2022-10-31,189.08,$11.82,16.0
2022-07-31,184.76,$11.65,15.86
2022-04-30,189.69,$10.29,18.44
2022-01-31,226.8,$11.98,18.93
2021-10-31,222.68,$10.29,21.64
2021-07-31,182.86,$6.43,28.44
2021-04-30,185.47,$12.67,14.64
2021-01-31,157.22,$12.46,12.61
2020-10-31,148.45,$13.35,11.12
2020-07-31,139.35,$14.58,9.56
2020-04-30,97.66,$3.03,32.18
2020-01-31,107.73,$-3.61,0.0
2019-10-31,102.97,$-2.25,0.0
2019-07-31,93.09,$0.08,1138.06
2019-01-31,87.44,$6.27,13.94
2018-10-31,86.14,$9.73,8.85
2018-07-31,89.43,$11.23,7.97
2018-04-30,73.85,$8.70,8.49
2018-01-31,93.37,$6.67,14.0
2019-04-30,103.32,$7.99,12.93
2017-10-31,71.0,$5.51,12.89
2017-07-31,68.39,$5.87,11.65
2017-04-30,74.59,$5.34,13.96
2017-01-31,63.96,$5.09,12.56
2016-10-31,58.05,$4.97,11.68
2016-07-31,71.3,$4.74,15.03
2016-04-30,65.6,$4.92,13.33
2016-01-31,61.61,$3.92,15.71
2015-10-31,63.22,$3.99,15.84
2015-07-31,59.17,$4.44,13.33
2015-04-30,58.5,$4.72,12.4
2015-01-31,57.38,$4.14,13.85
2014-10-31,48.28,$4.13,11.69
2014-07-31,40.21,$3.80,10.58
2014-04-30,38.4,$3.19,12.03
2014-01-31,38.56,$3.06,12.61
2013-10-31,41.32,$3.12,13.24
2013-07-31,36.86,$3.24,11.36
2013-04-30,31.64,$2.19,14.43
2013-01-31,31.32,$2.33,13.46
2012-10-31,26.44,$2.26,11.68
2012-07-31,20.61,$1.96,10.54
2012-04-30,25.41,$2.22,11.47
2012-01-31,21.57,$2.02,10.68
2011-10-31,16.81,$1.89,8.88
2011-07-31,17.14,$2.26,7.58
2011-04-30,20.72,$1.70,12.17
2011-01-31,19.5,$1.82,10.74
2010-10-31,16.7,$1.57,10.61
2010-07-31,16.15,$1.24,13.01
2010-04-30,21.0,$2.04,10.3
2010-01-31,16.71,$1.55,10.76
2009-10-31,15.04,$2.63,5.72
