Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,52.66,,0.0
2024-03-31,52.76,$-2.13,0.0
2023-12-31,50.96,$-1.53,0.0
2023-09-30,48.87,$-1.45,0.0
2023-06-30,55.71,$-0.98,0.0
2023-03-31,57.69,$-1.17,0.0
2022-12-31,58.78,$-1.58,0.0
2022-09-30,54.91,$-1.74,0.0
2022-06-30,59.83,$-2.09,0.0
2022-03-31,62.13,$-4.68,0.0
2021-12-31,61.82,$-4.30,0.0
2021-09-30,55.56,$-1.06,0.0
2021-06-30,53.56,$-2.75,0.0
2020-12-31,48.31,$0.85,56.8
2020-09-30,43.79,$6.03,7.27
2020-06-30,50.6,$1.75,28.92
2020-03-31,46.57,$4.39,10.6
2019-12-31,54.67,$4.58,11.93
2021-03-31,52.31,$0.36,143.36
2019-09-30,55.46,$2.71,20.47
2019-06-30,49.76,$2.46,20.22
2019-03-31,47.63,$1.62,29.49
2018-12-31,46.18,$2.00,23.1
2018-09-30,44.32,$1.62,27.29
2018-06-30,44.95,$0.97,46.42
2018-03-31,42.1,$1.20,34.99
2017-12-31,42.27,$1.04,40.7
2017-09-30,39.7,$0.17,233.97
2017-06-30,42.44,$-0.90,0.0
2017-03-31,43.44,$-1.68,0.0
2016-12-31,45.11,$-1.99,0.0
2016-09-30,45.43,$-1.49,0.0
2016-06-30,44.9,$-0.37,0.0
2016-03-31,39.71,$0.05,872.81
2015-12-31,33.95,$0.11,299.9
2015-09-30,30.77,$0.48,64.44
2015-06-30,27.39,$0.14,193.04
2015-03-31,31.03,$-0.16,0.0
2014-12-31,33.01,$-0.21,0.0
2014-09-30,27.31,$-0.55,0.0
2014-06-30,30.57,$-0.38,0.0
2014-03-31,28.15,$-0.54,0.0
2013-12-31,25.75,$-0.60,0.0
2013-09-30,24.27,$-0.57,0.0
2013-06-30,25.03,$-0.50,0.0
2013-03-31,25.7,$-0.58,0.0
2012-12-31,21.7,$-1.66,0.0
2012-09-30,22.23,$-1.64,0.0
2012-06-30,22.2,$-2.08,0.0
2012-03-31,20.47,$-2.45,0.0
2011-12-31,20.6,$-1.98,0.0
2011-09-30,18.69,$-2.04,0.0
2011-06-30,18.8,$-1.79,0.0
2011-03-31,18.24,$-0.37,0.0
2010-12-31,17.15,$0.61,28.32
2010-09-30,16.32,$0.95,17.18
2010-06-30,14.37,$0.43,33.31
2010-03-31,14.42,$0.19,77.81
2009-12-31,13.85,$-0.70,0.0
