Fair Isaac Price to Free Cash Flow Ratio Historical Data,Fair Isaac Price to Free Cash Flow Ratio Historical Data,Fair Isaac Price to Free Cash Flow Ratio Historical Data,Fair Isaac Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,1436.11,,76.66
2024-03-31,1249.61,$18.73,66.71
2023-12-31,1164.01,$19.80,58.78
2023-09-30,868.53,$18.32,47.41
2023-06-30,809.21,$16.79,48.19
2023-03-31,702.69,$16.61,42.29
2022-12-31,598.58,$17.82,33.59
2022-09-30,412.01,$19.11,21.56
2022-06-30,400.9,$12.02,33.36
2022-03-31,466.46,$15.58,29.94
2021-12-31,433.67,$16.02,27.07
2021-09-30,397.93,$14.23,27.97
2021-06-30,502.68,$20.67,24.32
2021-03-31,486.05,$15.81,30.75
2020-12-31,511.04,$6.45,79.27
2020-09-30,425.38,$6.61,64.34
2020-06-30,418.04,$4.14,100.99
2020-03-31,307.69,$2.23,138.11
2019-09-30,303.52,$7.80,38.9
2019-06-30,314.02,$8.86,35.45
2019-03-31,271.63,$8.21,33.09
2018-12-31,187.0,$7.55,24.78
2018-09-30,228.55,$7.67,29.79
2018-03-31,169.37,$5.74,29.52
2017-12-31,153.2,$6.29,24.37
2017-09-30,140.5,$6.38,22.01
2017-06-30,139.41,$5.58,25.0
2017-03-31,128.95,$5.99,21.52
2016-12-31,119.2,$5.28,22.57
2016-09-30,124.55,$5.83,21.37
2016-06-30,112.96,$6.74,16.76
2016-03-31,106.02,$5.34,19.87
2015-12-31,94.1,$5.29,17.78
2015-09-30,84.41,$3.73,22.6
2015-06-30,90.66,$4.01,22.59
2015-03-31,88.58,$3.67,24.12
2014-12-31,72.17,$3.80,19.01
2014-09-30,54.99,$4.66,11.8
2014-06-30,63.61,$3.64,17.45
2014-03-31,55.17,$3.67,15.03
2013-12-31,62.64,$3.27,19.15
2013-09-30,55.09,$3.09,17.86
2013-06-30,45.65,$2.62,17.4
2013-03-31,45.5,$2.39,19.01
2012-12-31,41.83,$2.53,16.53
2012-09-30,44.03,$2.89,15.23
2012-06-30,42.04,$3.73,11.28
2012-03-31,43.63,$4.97,8.77
2011-12-31,35.6,$5.02,7.09
2011-09-30,21.67,$4.68,4.63
2019-12-31,374.68,$4.19,89.44
2011-06-30,29.96,$2.76,10.84
2011-03-31,31.34,$2.01,15.61
2010-12-31,23.15,$2.21,10.47
2010-09-30,24.41,$2.00,12.21
2010-06-30,21.55,$2.21,9.73
2010-03-31,25.04,$2.64,9.47
2009-12-31,21.04,$-0.99,0.0
2009-09-30,21.19,$2.90,7.3
