STERIS Price to Free Cash Flow Ratio Historical Data,STERIS Price to Free Cash Flow Ratio Historical Data,STERIS Price to Free Cash Flow Ratio Historical Data,STERIS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,216.56,,59.83
2024-03-31,224.3,$3.62,61.97
2023-12-31,218.86,$3.22,68.02
2023-09-30,217.87,$1.70,128.06
2023-03-31,189.06,$4.09,46.27
2022-12-31,182.09,$4.52,40.29
2022-09-30,163.5,$5.44,30.06
2022-06-30,202.23,$6.85,29.52
2022-03-31,236.69,$6.58,35.96
2023-06-30,222.87,$5.14,43.36
2021-12-31,237.85,$4.30,55.28
2021-09-30,199.24,$4.44,44.91
2021-06-30,200.82,$4.92,40.85
2021-03-31,185.03,$5.25,35.24
2020-12-31,183.69,$5.58,32.89
2020-09-30,170.39,$4.71,36.17
2020-06-30,148.01,$4.53,32.67
2020-03-31,134.68,$4.44,30.34
2019-12-31,146.34,$3.98,36.79
2019-09-30,138.39,$4.06,34.06
2019-06-30,142.23,$3.97,35.85
2019-03-31,122.01,$4.16,29.35
2018-12-31,101.54,$3.87,26.25
2018-09-30,108.4,$3.74,28.97
2018-06-30,99.21,$3.80,26.07
2018-03-31,87.94,$3.43,25.61
2017-12-31,82.11,$3.37,24.36
2017-09-30,82.7,$3.27,25.3
2017-06-30,75.97,$2.92,26.04
2017-03-31,64.52,$2.97,21.69
2016-12-31,62.34,$3.65,17.1
2016-09-30,67.34,$2.54,26.5
2016-06-30,63.08,$2.09,30.14
2016-03-31,64.96,$1.81,35.82
2015-12-31,68.62,$1.17,58.68
2015-09-30,59.18,$2.19,26.96
2015-06-30,58.69,$2.60,22.59
2015-03-31,64.0,$2.69,23.78
2014-12-31,59.07,$2.58,22.86
2014-09-30,49.15,$2.74,17.91
2014-06-30,48.71,$2.35,20.76
2014-03-31,43.49,$2.14,20.29
2013-12-31,43.76,$1.78,24.63
2013-09-30,38.95,$1.80,21.65
2013-06-30,38.68,$1.79,21.66
2013-03-31,37.38,$2.39,15.66
2012-12-31,31.05,$2.38,13.03
2012-09-30,31.53,$2.10,14.99
2012-06-30,27.73,$2.25,12.34
2012-03-31,27.79,$1.40,19.8
2011-12-31,26.07,$1.23,21.23
2011-09-30,25.43,$0.84,30.27
2011-06-30,30.21,$0.63,47.83
2011-03-31,29.7,$1.62,18.31
2010-12-31,31.22,$2.31,13.51
2010-06-30,26.36,$2.97,8.87
2010-03-31,28.45,$3.10,9.19
2009-12-31,23.56,$4.13,5.7
2009-09-30,24.13,$3.71,6.51
