Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,59.48,,217.64
2024-03-31,57.2,$0.27,209.29
2023-12-31,51.28,$6.08,8.44
2023-09-30,41.6,$12.12,3.43
2023-06-30,43.03,$10.48,4.1
2023-03-31,43.53,$16.74,2.6
2022-12-31,43.28,$18.17,2.38
2022-09-30,36.3,$14.65,2.48
2022-06-30,38.97,$13.16,2.96
2021-12-31,53.52,$2.03,26.4
2021-09-30,47.5,$-0.95,0.0
2021-06-30,46.63,$3.38,13.78
2021-03-31,42.77,$0.94,45.34
2020-12-31,38.08,$12.00,3.17
2022-03-31,46.0,$9.49,4.85
2020-09-30,30.55,$2.78,10.99
2020-06-30,34.09,$7.22,4.72
2020-03-31,29.46,$-2.14,0.0
2019-12-31,43.73,$-1.22,0.0
2019-09-30,39.02,$4.51,8.64
2019-06-30,37.86,$0.53,71.11
2019-03-31,43.0,$4.71,9.12
2018-12-31,39.92,$4.97,8.04
2018-09-30,42.98,$3.03,14.19
2018-06-30,45.22,$6.87,6.58
2018-03-31,43.02,$3.81,11.31
2017-12-31,44.78,$3.37,13.3
2017-09-30,43.88,$6.50,6.75
2017-06-30,42.03,$1.72,24.39
2017-03-31,38.75,$2.25,17.2
2016-12-31,38.71,$5.21,7.43
2016-09-30,32.44,$1.04,31.22
2016-06-30,31.45,$2.17,14.51
2016-03-31,29.69,$4.94,6.01
2015-12-31,33.08,$3.22,10.28
2015-09-30,31.29,$4.12,7.59
2015-06-30,33.41,$4.11,8.13
2015-03-31,31.91,$4.68,6.82
2014-12-31,32.02,$3.79,8.45
2014-09-30,30.43,$2.18,13.97
2014-06-30,29.32,$1.72,17.03
2014-03-31,27.47,$0.29,94.89
2013-12-31,27.07,$-1.09,0.0
2013-09-30,23.28,$-0.23,0.0
2013-06-30,21.53,$-0.30,0.0
2013-03-31,21.37,$-1.62,0.0
2012-12-31,19.52,$0.84,23.11
2012-09-30,17.09,$3.04,5.61
2012-06-30,16.49,$0.88,18.64
2012-03-31,18.02,$1.09,16.56
2011-12-31,14.78,$1.31,11.26
2011-09-30,13.71,$-0.21,0.0
2011-06-30,18.8,$3.80,4.95
2011-03-31,21.82,$2.37,9.22
2010-12-31,22.0,$3.10,7.09
2010-09-30,18.97,$3.29,5.76
2010-06-30,17.86,$2.59,6.89
2010-03-31,22.27,$4.31,5.16
2009-12-31,20.11,$2.88,6.98
