Hess Price to Free Cash Flow Ratio Historical Data,Hess Price to Free Cash Flow Ratio Historical Data,Hess Price to Free Cash Flow Ratio Historical Data,Hess Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,146.18,,0.0
2024-03-31,152.18,$-0.12,0.0
2023-12-31,143.31,$-0.53,0.0
2023-09-30,151.64,$1.76,86.32
2023-06-30,134.37,$3.81,35.27
2023-03-31,130.38,$6.05,21.55
2022-12-31,139.25,$4.51,30.86
2022-09-30,106.71,$3.82,27.94
2022-06-30,103.41,$2.60,39.85
2022-03-31,104.15,$2.22,46.87
2021-12-31,71.75,$5.08,14.14
2021-09-30,75.46,$5.75,13.11
2021-06-30,84.05,$4.03,20.86
2021-03-31,67.92,$0.68,100.01
2020-12-31,50.49,$-1.22,0.0
2020-09-30,38.96,$-4.96,0.0
2020-06-30,49.04,$-4.89,0.0
2020-03-31,31.36,$-3.65,0.0
2019-12-31,62.48,$-3.87,0.0
2019-09-30,56.33,$-1.35,0.0
2019-06-30,58.97,$1.07,55.08
2019-03-31,55.63,$0.66,84.88
2018-12-31,37.25,$1.51,24.74
2018-09-30,65.51,$8.12,8.07
2018-06-30,60.99,$7.14,8.54
2018-03-31,45.96,$10.99,4.18
2017-12-31,42.88,$11.21,3.82
2017-09-30,42.12,$3.26,12.93
2017-06-30,39.17,$1.71,22.97
2016-12-31,55.03,$-4.25,0.0
2016-09-30,47.18,$-12.14,0.0
2016-06-30,52.6,$-11.33,0.0
2016-03-31,45.88,$-12.67,0.0
2015-12-31,42.04,$-12.05,0.0
2017-03-31,42.81,$-6.88,0.0
2015-09-30,43.2,$-8.62,0.0
2015-06-30,57.45,$-5.70,0.0
2015-03-31,58.09,$0.26,223.41
2014-12-31,62.95,$7.22,8.72
2014-09-30,80.12,$11.64,6.89
2014-06-30,83.79,$10.62,7.89
2014-03-31,70.04,$18.16,3.86
2013-12-31,69.93,$14.30,4.89
2013-09-30,64.95,$12.17,5.34
2013-06-30,55.66,$10.54,5.28
2012-12-31,44.21,$-3.46,0.0
2012-09-30,44.75,$-9.63,0.0
2012-06-30,36.13,$-8.53,0.0
2012-03-31,48.91,$-10.24,0.0
2011-12-31,47.05,$-7.16,0.0
2013-03-31,59.86,$0.20,292.41
2011-09-30,43.38,$-4.26,0.0
2011-06-30,61.71,$-1.16,0.0
2011-03-31,70.25,$-1.83,0.0
2010-12-31,63.02,$-2.37,0.0
2010-09-30,48.61,$1.32,36.89
2010-06-30,41.32,$1.76,23.44
2010-03-31,51.24,$1.31,39.12
2009-12-31,49.48,$0.39,126.04
