Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,36.79,,6.5
2024-03-31,38.47,$5.66,6.8
2023-12-31,35.91,$6.48,5.54
2023-09-30,27.34,$7.30,3.75
2023-06-30,28.53,$8.34,3.42
2023-03-31,31.45,$8.51,3.7
2022-12-31,39.26,$8.28,4.74
2022-09-30,39.24,$9.20,4.26
2022-06-30,42.32,$6.22,6.8
2022-03-31,50.07,$5.73,8.73
2021-12-31,51.32,$5.85,8.78
2021-09-30,51.03,$3.99,12.79
2021-06-30,47.89,$4.36,10.99
2021-03-31,49.96,$1.78,28.01
2020-12-31,40.71,$4.88,8.35
2020-09-30,32.01,$2.38,13.43
2020-06-30,31.22,$4.39,7.11
2020-03-31,25.29,$5.66,4.47
2019-12-31,45.81,$1.59,28.81
2019-09-30,43.06,$3.66,11.76
2019-06-30,39.26,$3.43,11.44
2019-03-31,36.87,$3.69,9.99
2018-12-31,34.05,$5.09,6.69
2018-09-30,37.85,$5.85,6.47
2018-06-30,39.02,$5.72,6.83
2018-03-31,39.99,$5.91,6.76
2017-12-31,37.93,$5.72,6.64
2017-09-30,35.56,$6.72,5.29
2017-06-30,34.16,$4.59,7.44
2017-03-31,33.4,$4.18,7.99
2016-12-31,34.9,$3.82,9.13
2016-09-30,27.78,$2.45,11.35
2016-06-30,26.02,$5.15,5.06
2016-03-31,24.11,$4.78,5.05
2015-12-31,27.17,$4.13,6.57
2015-09-30,25.4,$4.80,5.29
2015-06-30,28.56,$3.23,8.83
2015-03-31,27.44,$2.72,10.07
2014-12-31,27.19,$4.41,6.17
2014-09-30,25.86,$7.05,3.67
2014-06-30,27.22,$5.40,5.04
2014-03-31,27.55,$7.70,3.58
2013-12-31,25.44,$7.43,3.42
2013-09-30,22.85,$3.13,7.29
2013-06-30,22.79,$4.87,4.68
2013-03-31,20.96,$3.23,6.5
2012-12-31,19.17,$5.24,3.66
2012-09-30,21.7,$4.70,4.62
2012-06-30,20.06,$4.36,4.61
2012-03-31,20.29,$5.87,3.46
2011-12-31,16.17,$6.06,2.67
2011-09-30,13.6,$8.00,1.7
2011-06-30,17.02,$7.73,2.2
2011-03-31,17.3,$7.18,2.41
2010-12-31,16.48,$4.90,3.36
2010-09-30,14.99,$3.24,4.62
2010-06-30,16.29,$10.34,1.58
2010-03-31,19.97,$16.01,1.25
2009-12-31,15.55,$-1.05,0.0
