Merck Price to Free Cash Flow Ratio Historical Data,Merck Price to Free Cash Flow Ratio Historical Data,Merck Price to Free Cash Flow Ratio Historical Data,Merck Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,130.72,,30.15
2024-03-31,131.16,$4.34,30.25
2023-12-31,107.68,$3.59,30.0
2023-09-30,100.95,$5.17,19.51
2023-06-30,112.39,$4.26,26.39
2023-03-31,102.93,$4.43,23.25
2022-12-31,106.62,$5.79,18.43
2022-09-30,82.22,$6.03,13.65
2022-06-30,86.35,$5.70,15.16
2022-03-31,77.09,$4.84,15.91
2021-12-31,71.37,$3.42,20.88
2021-09-30,69.3,$2.67,25.99
2021-06-30,71.11,$1.29,55.15
2021-03-31,69.89,$1.43,49.0
2020-12-31,73.51,$1.25,58.6
2020-09-30,73.95,$0.16,460.17
2020-06-30,68.44,$1.38,49.44
2020-03-31,67.56,$1.74,38.75
2019-12-31,79.23,$2.14,37.07
2019-09-30,72.83,$3.45,21.13
2019-06-30,72.07,$2.98,24.21
2019-03-31,71.01,$3.13,22.72
2018-12-31,64.8,$3.10,20.9
2018-09-30,59.73,$3.31,18.07
2018-06-30,50.76,$1.92,26.48
2018-03-31,45.2,$1.94,23.3
2017-12-31,46.29,$1.66,27.88
2017-09-30,52.23,$1.57,33.34
2017-06-30,51.91,$3.07,16.91
2017-03-31,51.08,$-0.84,0.0
2016-12-31,46.98,$0.50,94.23
2016-09-30,49.43,$0.46,108.0
2016-06-30,45.29,$0.39,115.57
2015-12-31,40.84,$3.96,10.31
2015-09-30,37.85,$2.11,17.95
2015-06-30,43.26,$2.45,17.68
2015-03-31,43.34,$2.28,19.01
2014-12-31,42.48,$2.28,18.64
2014-09-30,44.01,$3.65,12.05
2014-06-30,42.64,$3.49,12.23
2014-03-31,41.53,$3.45,12.05
2013-12-31,36.32,$3.37,10.77
2013-09-30,34.24,$2.87,11.91
2013-06-30,33.11,$2.52,13.14
2013-03-31,31.23,$2.68,11.64
2012-12-31,28.65,$2.62,10.92
2012-09-30,31.25,$3.13,9.97
2012-06-30,28.66,$3.60,7.96
2012-03-31,26.08,$3.59,7.27
2011-12-31,25.32,$3.45,7.35
2011-09-30,21.7,$3.51,6.19
2011-06-30,23.15,$2.90,7.99
2011-03-31,21.42,$3.06,7.01
2010-12-31,23.12,$2.93,7.89
2010-09-30,23.37,$2.19,10.66
2010-06-30,21.97,$2.13,10.3
2010-03-31,23.21,$0.88,26.28
2009-12-31,22.47,$0.74,30.4
2016-03-31,41.26,$0.79,51.97
