Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,15.09,,5.75
2024-03-31,16.38,$2.62,6.24
2023-12-31,17.39,$2.49,6.98
2023-09-30,13.94,$1.87,7.45
2023-06-30,15.94,$2.11,7.57
2023-03-31,15.36,$1.68,9.17
2022-12-31,16.68,$1.11,15.02
2022-09-30,12.56,$0.18,70.07
2022-06-30,14.63,$0.48,30.53
2022-03-31,20.7,$1.32,15.67
2021-12-31,20.52,$2.08,9.85
2021-09-30,21.35,$3.30,6.46
2021-06-30,23.51,$2.88,8.16
2021-03-31,22.05,$2.52,8.75
2020-12-31,15.13,$2.41,6.28
2020-09-30,9.8,$2.25,4.35
2020-06-30,9.11,$2.03,4.5
2020-03-31,7.54,$2.40,3.15
2019-12-31,14.69,$2.25,6.52
2019-09-30,13.6,$1.60,8.51
2019-06-30,16.43,$1.60,10.26
2019-03-31,15.28,$1.59,9.64
2018-12-31,13.03,$1.76,7.4
2018-09-30,17.56,$2.30,7.62
2018-06-30,20.14,$2.59,7.79
2018-03-31,24.01,$2.12,11.31
2017-12-31,27.18,$2.55,10.65
2017-09-30,25.84,$1.74,14.87
2017-06-30,25.73,$1.70,15.1
2017-03-31,22.2,$1.65,13.45
2016-12-31,21.8,$1.26,17.35
2016-09-30,22.27,$2.48,8.97
2016-06-30,18.02,$1.80,10.04
2016-03-31,21.5,$2.45,8.79
2015-12-31,23.16,$2.40,9.65
2015-09-30,21.42,$1.44,14.88
2015-06-30,25.53,$2.31,11.04
2015-03-31,26.84,$2.88,9.31
2014-12-31,26.56,$2.52,10.53
2014-09-30,26.37,$2.63,10.02
2014-06-30,25.06,$2.30,10.9
2014-03-31,24.39,$2.17,11.25
2013-12-31,23.84,$1.60,14.92
2013-09-30,20.75,$2.20,9.43
2013-06-30,20.54,$1.60,12.81
2013-03-31,18.58,$0.85,21.74
2012-12-31,16.64,$1.59,10.48
2012-09-30,15.82,$1.14,13.92
2012-06-30,14.2,$2.11,6.73
2012-03-31,16.63,$1.75,9.48
2011-12-31,12.47,$1.87,6.66
2011-09-30,9.56,$1.25,7.65
2011-06-30,14.32,$1.07,13.42
2011-03-31,15.57,$0.79,19.61
2010-12-31,14.59,$0.63,23.34
2010-09-30,12.81,$1.11,11.51
2010-06-30,10.1,$0.61,16.56
2010-03-31,13.07,$0.81,16.2
2009-12-31,13.94,$0.78,17.89
