MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,486.32,,32.86
2024-03-31,558.65,$14.80,37.75
2023-12-31,562.27,$14.34,39.2
2023-09-30,508.63,$13.38,38.01
2023-06-30,464.05,$13.75,33.75
2023-03-31,551.82,$12.82,43.04
2022-12-31,457.49,$12.59,36.34
2022-09-30,413.71,$12.08,34.26
2022-06-30,403.25,$10.67,37.8
2022-03-31,490.7,$10.83,45.32
2021-12-31,596.69,$10.50,56.81
2021-09-30,591.49,$10.01,59.08
2021-06-30,517.46,$9.84,52.59
2021-03-31,406.3,$10.26,39.61
2020-12-31,431.94,$8.99,48.03
2020-09-30,344.43,$9.04,38.11
2020-06-30,321.57,$8.84,36.36
2020-03-31,277.81,$7.93,35.04
2019-12-31,247.69,$7.67,32.31
2019-09-30,208.34,$6.79,30.66
2019-06-30,227.77,$6.21,36.7
2019-03-31,189.18,$6.32,29.92
2018-12-31,139.8,$6.29,22.24
2018-09-30,167.59,$5.86,28.62
2018-06-30,155.75,$5.40,28.85
2018-03-31,140.39,$4.46,31.47
2017-12-31,118.55,$3.87,30.66
2017-09-30,109.18,$3.82,28.55
2017-06-30,95.87,$4.29,22.37
2017-03-31,90.21,$4.13,21.87
2016-12-31,72.9,$4.14,17.61
2016-09-30,77.41,$3.55,21.8
2016-06-30,70.89,$3.24,21.85
2016-03-31,67.9,$2.26,30.07
2015-12-31,65.91,$2.48,26.62
2015-09-30,54.16,$2.60,20.85
2015-06-30,55.87,$2.21,25.26
2015-03-31,55.49,$2.59,21.45
2014-12-31,42.8,$2.18,19.6
2014-09-30,42.25,$1.97,21.47
2014-06-30,41.19,$1.69,24.34
2014-03-31,38.65,$1.88,20.59
2013-12-31,39.28,$2.29,17.13
2013-09-30,36.17,$2.12,17.06
2013-06-30,29.89,$2.29,13.05
2013-03-31,30.48,$2.47,12.34
2012-12-31,27.84,$2.46,11.34
2012-09-30,32.16,$2.63,12.25
2012-06-30,30.57,$2.67,11.43
2012-03-31,33.07,$2.67,12.39
2011-12-31,29.59,$1.90,15.6
2011-09-30,27.25,$0.68,39.85
2011-06-30,33.85,$0.47,72.66
2011-03-31,33.08,$0.27,123.9
2010-12-31,35.0,$0.34,102.95
2010-08-31,26.86,$-0.14,0.0
2010-05-31,26.64,$-0.12,0.0
2010-02-28,26.94,$-0.33,0.0
2009-11-30,27.38,$0.00,0.0
2009-08-31,26.43,$1.09,24.31
