American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,87.05,,1009.86
2024-03-31,85.27,$0.09,989.27
2023-12-31,79.52,$-1.97,0.0
2023-09-30,72.82,$-4.11,0.0
2023-06-30,80.68,$-6.59,0.0
2023-03-31,86.4,$-4.80,0.0
2022-12-31,89.32,$-2.27,0.0
2022-09-30,80.56,$-0.82,0.0
2022-06-30,88.72,$0.18,499.26
2022-03-31,91.54,$-0.28,0.0
2021-12-31,80.93,$-3.39,0.0
2021-09-30,73.16,$-3.34,0.0
2021-06-30,75.6,$-5.15,0.0
2021-03-31,75.06,$-5.57,0.0
2020-12-31,73.11,$-4.71,0.0
2020-09-30,71.18,$-5.16,0.0
2020-06-30,68.8,$-4.22,0.0
2020-03-31,68.49,$-4.44,0.0
2019-12-31,80.37,$-3.60,0.0
2019-09-30,79.06,$-2.66,0.0
2019-06-30,73.71,$-2.13,0.0
2019-03-31,69.58,$-1.50,0.0
2018-12-31,61.58,$-2.20,0.0
2018-09-30,57.87,$-3.08,0.0
2018-06-30,56.05,$-3.74,0.0
2018-03-31,55.0,$-3.99,0.0
2017-12-31,58.43,$1.50,38.96
2017-09-30,55.33,$2.24,24.72
2017-06-30,54.27,$3.17,17.15
2017-03-31,51.99,$3.33,15.62
2016-12-31,48.31,$-0.75,0.0
2016-09-30,48.82,$-0.73,0.0
2016-06-30,52.85,$-0.69,0.0
2016-03-31,49.64,$-0.71,0.0
2015-12-31,43.17,$0.48,89.98
2015-09-30,41.69,$0.53,78.33
2015-06-30,38.48,$0.32,120.77
2015-03-31,40.47,$0.83,48.9
2014-12-31,43.3,$0.83,51.94
2014-09-30,36.89,$1.34,27.6
2014-06-30,39.01,$1.70,22.89
2014-03-31,35.11,$1.48,23.77
2013-12-31,32.06,$0.92,34.87
2013-09-30,29.42,$1.11,26.43
2013-06-30,30.06,$0.67,44.56
2013-03-31,32.33,$1.15,28.2
2012-12-31,28.08,$1.45,19.38
2012-09-30,28.59,$0.73,39.1
2012-06-30,25.68,$1.62,15.87
2012-03-31,24.52,$1.91,12.82
2011-12-31,25.95,$2.53,10.24
2011-09-30,23.6,$3.58,6.59
2011-06-30,23.08,$2.99,7.71
2011-03-31,21.25,$2.45,8.69
2010-12-31,21.48,$0.73,29.52
2010-09-30,21.37,$0.27,77.75
2010-06-30,18.83,$-0.14,0.0
2010-03-31,19.67,$-0.29,0.0
2009-12-31,19.77,$-0.31,0.0
