Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,50.21,,12.2
2024-01-31,45.61,$4.12,11.08
2023-10-31,44.56,$3.31,13.46
2023-07-31,47.48,$4.11,11.55
2023-04-30,47.22,$4.20,11.23
2023-01-31,43.08,$2.06,20.91
2022-10-31,45.4,$2.65,17.16
2022-07-31,44.34,$3.84,11.54
2022-04-30,51.32,$3.55,14.44
2022-01-31,41.27,$4.95,8.34
2021-10-31,37.7,$4.11,9.17
2021-07-31,38.15,$2.58,14.78
2021-04-30,34.09,$2.62,13.0
2021-01-31,32.01,$5.27,6.08
2020-10-31,29.72,$4.88,6.08
2020-07-31,31.93,$5.05,6.32
2020-04-30,28.87,$4.95,5.83
2020-01-31,24.4,$2.25,10.86
2019-10-31,22.25,$2.05,10.85
2019-07-31,19.11,$1.70,11.27
2019-04-30,23.15,$1.45,15.94
2019-01-31,25.32,$1.57,16.16
2018-10-31,26.47,$1.58,16.73
2018-07-31,25.28,$1.01,25.02
2018-04-30,21.85,$1.08,20.29
2018-01-31,26.22,$0.82,31.94
2017-10-31,17.78,$1.33,13.41
2017-07-31,20.95,$1.70,12.32
2017-04-30,25.23,$1.34,18.81
2017-01-31,28.79,$0.74,39.12
2016-10-31,26.17,$0.84,31.08
2016-07-31,28.77,$1.59,18.1
2016-04-30,29.69,$1.85,16.07
2016-01-31,32.47,$1.65,19.73
2015-10-31,31.54,$1.45,21.79
2015-07-31,32.65,$1.33,24.51
2015-04-30,28.59,$1.31,21.82
2015-01-31,28.58,$1.43,19.97
2014-10-31,22.98,$1.48,15.55
2014-07-31,20.14,$1.06,19.08
2014-04-30,18.86,$1.36,13.89
2014-01-31,14.73,$0.43,34.02
2013-10-31,17.41,$0.11,154.45
2013-07-31,15.9,$0.76,20.81
2013-01-31,11.1,$0.88,12.67
2012-10-31,10.05,$0.50,19.98
2012-07-31,8.79,$1.67,5.26
2012-04-30,9.18,$1.20,7.64
2012-01-31,9.33,$0.99,9.4
2013-04-30,13.85,$1.86,7.45
2011-10-31,9.05,$1.17,7.73
2011-07-31,9.67,$1.16,8.35
2011-04-30,9.41,$0.97,9.67
2011-01-31,8.25,$1.18,7.01
2010-10-31,8.44,$0.92,9.18
2010-07-31,8.09,$0.84,9.65
2010-04-30,8.45,$0.67,12.55
2010-01-31,8.11,$-0.01,0.0
2009-10-31,8.72,$0.48,18.29
