Etsy Price to Free Cash Flow Ratio Historical Data,Etsy Price to Free Cash Flow Ratio Historical Data,Etsy Price to Free Cash Flow Ratio Historical Data,Etsy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,60.17,,12.39
2024-03-31,68.72,$4.86,14.15
2023-12-31,81.05,$4.75,17.06
2023-09-30,64.58,$5.01,12.9
2023-06-30,84.61,$5.24,16.15
2023-03-31,111.33,$5.14,21.67
2022-12-31,119.78,$5.15,23.26
2022-09-30,100.13,$4.82,20.78
2022-06-30,73.21,$3.60,20.33
2022-03-31,124.28,$3.59,34.59
2021-12-31,218.94,$4.25,51.52
2021-09-30,207.96,$4.12,50.52
2021-06-30,205.84,$4.88,42.2
2021-03-31,201.67,$5.69,35.43
2020-12-31,177.91,$4.92,36.17
2020-09-30,121.63,$3.74,32.54
2020-06-30,106.23,$2.80,38.0
2020-03-31,38.44,$1.52,25.21
2019-12-31,44.3,$1.51,29.36
2019-09-30,56.5,$1.66,33.99
2019-06-30,61.37,$1.50,40.96
2019-03-31,67.22,$1.15,58.32
2018-12-31,47.57,$1.12,42.31
2018-09-30,51.38,$0.66,77.91
2018-06-30,42.19,$0.60,70.65
2018-03-31,28.06,$0.67,41.98
2017-12-31,20.45,$0.46,44.69
2017-09-30,16.88,$0.28,60.39
2017-06-30,15.0,$0.15,97.21
2017-03-31,10.63,$0.06,172.56
2016-12-31,11.78,$0.00,0.0
2016-09-30,14.28,$0.00,0.0
2016-06-30,9.59,$-0.01,0.0
2016-03-31,8.7,$0.05,186.7
