Ecolab Price to Free Cash Flow Ratio Historical Data,Ecolab Price to Free Cash Flow Ratio Historical Data,Ecolab Price to Free Cash Flow Ratio Historical Data,Ecolab Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,243.99,,42.45
2023-12-31,197.39,$5.75,34.34
2023-09-30,168.1,$5.88,28.56
2023-06-30,184.7,$5.28,34.99
2023-03-31,163.29,$4.72,34.6
2022-12-31,143.1,$5.15,27.76
2024-03-31,230.36,$3.03,76.08
2022-09-30,141.45,$2.93,48.3
2022-06-30,150.12,$3.65,41.15
2022-03-31,171.79,$4.36,39.44
2021-12-31,227.55,$4.95,45.97
2021-09-30,201.91,$5.28,38.22
2021-06-30,198.92,$4.91,40.53
2021-03-31,206.28,$4.64,44.43
2020-12-31,208.02,$4.74,43.87
2020-09-30,191.71,$4.99,38.45
2020-06-30,190.42,$5.57,34.21
2020-03-31,148.8,$5.91,25.17
2019-12-31,183.77,$5.80,31.68
2019-09-30,188.1,$6.10,30.85
2019-06-30,187.08,$5.84,32.02
2019-03-31,166.88,$4.90,34.04
2018-12-31,138.92,$5.22,26.64
2018-09-30,147.36,$4.16,35.39
2018-06-30,131.55,$3.91,33.68
2018-03-31,128.13,$4.29,29.87
2017-12-31,125.05,$4.20,29.81
2017-09-30,119.5,$3.59,33.32
2017-06-30,123.0,$3.85,31.98
2017-03-31,115.82,$3.86,30.04
2016-12-31,107.99,$4.09,26.41
2016-09-30,111.8,$4.63,24.13
2016-06-30,108.61,$4.87,22.31
2016-03-31,101.82,$5.27,19.31
2015-12-31,104.09,$3.98,26.15
2015-09-30,99.54,$4.07,24.47
2015-06-30,102.27,$3.72,27.48
2015-03-31,103.16,$2.98,34.57
2014-12-31,94.0,$3.38,27.85
2014-09-30,102.94,$3.48,29.6
2014-06-30,99.57,$3.29,30.3
2014-03-31,96.33,$3.04,31.68
2013-12-31,92.78,$3.00,30.91
2013-09-30,87.64,$2.57,34.08
2013-06-30,75.42,$2.56,29.44
2013-03-31,70.79,$2.27,31.19
2012-12-31,63.29,$2.05,30.94
2012-09-30,56.86,$1.13,50.13
2012-06-30,59.94,$0.56,106.2
2012-03-31,53.82,$1.35,39.95
2011-12-31,50.24,$1.33,37.72
2011-09-30,42.34,$2.24,18.91
2011-06-30,48.66,$2.45,19.83
2011-03-31,43.89,$2.37,18.52
2010-12-31,43.22,$2.76,15.67
2010-09-30,43.34,$2.10,20.68
2010-06-30,38.24,$1.90,20.12
2010-03-31,37.3,$2.16,17.29
2009-12-31,37.7,$1.71,22.09
