Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,109.7,,15.55
2024-03-31,98.4,$7.05,13.95
2023-12-31,98.25,$6.17,15.93
2023-09-30,92.68,$-5.87,0.0
2023-06-30,105.56,$-5.72,0.0
2023-03-31,100.73,$-6.98,0.0
2022-12-31,106.46,$-6.46,0.0
2022-09-30,112.74,$3.59,31.44
2022-06-30,125.92,$1.49,84.65
2022-03-31,154.54,$-1.22,0.0
2021-12-31,165.23,$-2.20,0.0
2021-09-30,135.73,$-3.25,0.0
2021-06-30,121.44,$-1.90,0.0
2021-03-31,99.99,$0.90,111.49
2020-12-31,90.12,$0.93,96.54
2020-09-30,79.58,$0.06,1401.0
2020-06-30,80.83,$0.34,238.37
2020-03-31,69.57,$-1.36,0.0
2019-12-31,92.24,$-2.22,0.0
2019-09-30,95.78,$-0.65,0.0
2019-06-30,89.42,$-1.90,0.0
2019-03-31,86.28,$-0.31,0.0
2018-12-31,74.26,$-1.41,0.0
2018-09-30,78.26,$-0.77,0.0
2018-06-30,75.58,$0.14,524.87
2018-03-31,69.23,$-0.39,0.0
2017-12-31,75.02,$1.67,45.01
2017-09-30,73.92,$0.64,114.74
2017-06-30,68.56,$5.64,12.16
2017-03-31,63.96,$6.65,9.61
2016-12-31,66.21,$6.82,9.71
2016-09-30,65.33,$7.40,8.83
2016-06-30,65.1,$2.08,31.25
2016-03-31,61.38,$1.01,60.92
2015-12-31,55.53,$1.75,31.76
2015-09-30,52.96,$2.69,19.7
2015-06-30,52.72,$2.59,20.35
2015-03-31,54.93,$2.23,24.61
2014-12-31,51.45,$1.09,47.04
2014-09-30,47.32,$-2.42,0.0
2014-06-30,48.66,$-2.88,0.0
2014-03-31,45.62,$-3.13,0.0
2013-12-31,38.16,$-1.93,0.0
2013-09-30,40.77,$-2.66,0.0
2013-06-30,45.42,$-3.38,0.0
2013-03-31,44.71,$-3.64,0.0
2012-12-31,44.0,$-5.05,0.0
2012-09-30,41.25,$-2.22,0.0
2012-06-30,42.92,$-1.30,0.0
2012-03-31,41.34,$0.26,156.91
2011-12-31,38.8,$1.01,38.31
2011-09-30,34.16,$2.76,12.39
2011-06-30,38.98,$3.68,10.58
2011-03-31,34.55,$3.82,9.04
2010-12-31,32.53,$3.84,8.48
2010-09-30,28.66,$2.35,12.21
2010-06-30,24.18,$2.21,10.96
2010-03-31,24.38,$2.64,9.25
2009-12-31,24.56,$2.77,8.85
